,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,"{'urls': [{'url': 'https://t.co/YDX6ImrI59', 'expanded_url': 'https://www.youtube.com/kezandunicorns', 'display_url': 'youtube.com/kezandunicorns', 'indices': [0, 23]}]}",False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
in_reply_to_user_id,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
in_reply_to_user_id_str,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
in_reply_to_screen_name,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
geo,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
coordinates,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
place,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
contributors,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
is_quote_status,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,True,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
quoted_status_id,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,1338475377602269192,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
quoted_status_id_str,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,1338475377602269192,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
retweet_count,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,0,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
favorite_count,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,1,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
favorited,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,False,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
retweeted,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,False,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
possibly_sensitive,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,False,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
lang,270460099,270460099,🦄💖🌈KezAndUnicornsYT 🌈💖🦄,kezandunicorns,"Unicorn, Candy Mountain ",,Kawaii Unicorn Anime Magical Girl Wig-Addicted YOUTUBER | #BPD #CPTSD #CRPS #Anorexia #BDD #PanicD #DissA #DPDR She/Her | https://t.co/ATguhdEJcX,https://t.co/YDX6ImrI59,,False,982,568,120,Tue Mar 22 17:19:46 +0000 2011,4469,,,True,False,10937,,en,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_images/1337014267267215362/hKWIIq4s_normal.jpg,https://pbs.twimg.com/profile_banners/270460099/1607604065,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
