,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,"{'urls': [{'url': 'https://t.co/tS14vC2jhb', 'expanded_url': 'https://curiouscat.qa/move2themoon', 'display_url': 'curiouscat.qa/move2themoon', 'indices': [0, 23]}]}",False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,1338598940585807872,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,1076869302446370816,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,1076869302446370816,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,vantestaegi,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,7,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
possibly_sensitive,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1201664361309310976,1201664361309310976,ᴮᴱ Lee ⁷,flowerz4tae,bts | txt | skz | en-,,14 he/they ⟭⟬ ⟬⟭,https://t.co/tS14vC2jhb,,False,300,686,3,Tue Dec 03 00:48:16 +0000 2019,80980,,,True,False,10500,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_images/1336785492105441283/1QQHxj0C_normal.jpg,https://pbs.twimg.com/profile_banners/1201664361309310976/1601239229,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
