,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,{'urls': []},False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_user_id_str,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_screen_name,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
geo,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
coordinates,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
place,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
contributors,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
is_quote_status,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
retweet_count,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,1,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
favorite_count,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,8,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
favorited,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
retweeted,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
lang,753187517801852928,753187517801852928,Crypto.Crew,CryptoTickers,,,Relentless Gem Hunter 💎 | Trades only on Dex | Riding the Defi ponzi | Since 2017,,,False,39277,580,695,Wed Jul 13 11:21:12 +0000 2016,16814,,,True,False,10165,,en,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_images/1143977155661111297/SW6VAnFI_normal.png,https://pbs.twimg.com/profile_banners/753187517801852928/1596300818,1B95E0,000000,000000,000000,False,False,False,False,False,False,False,none
