,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
in_reply_to_screen_name,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,3,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1287564775564615680,1287564775564615680,Ellie ♡ OnHo Month 💙,ojkmt010215,• a boat fishing with onew ,,Is this the type of reality you wanted? -Kim JongHyun ● 5HINee || just breathe • 2009 Shawol🇵🇭 uwu • そばにいるよ ずっと || multi suju•nct•exo•rv•,,,False,276,463,5,Mon Jul 27 01:45:51 +0000 2020,6403,,,False,False,5582,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_images/1302871129615405056/GgxFHH8U_normal.jpg,https://pbs.twimg.com/profile_banners/1287564775564615680/1595815347,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
