,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
in_reply_to_status_id_str,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted_status,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,"{'created_at': 'Sun Dec 13 03:17:05 +0000 2020', 'id': 1337959702907346944, 'id_str': '1337959702907346944', 'text': 'TELLING SOMEONE WITH ED THAT THEYLL JUST END UP GAINING BACK WEIGHT OR EVEN GAIN MORE THAN THERE ORIGINAL WEIGHT IS… https://t.co/OdPOrilNrl', 'truncated': True, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/OdPOrilNrl', 'expanded_url': 'https://twitter.com/i/web/status/1337959702907346944', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 25, 'favorite_count': 174, 'favorited': False, 'retweeted': False, 'lang': 'en'}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,25,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1287460438557560834,1287460438557560834,❄️ Anna ❄️,annalowcal,ugw: 55kg cw: 80kg,,she/her | 22 | 5’7” | tw eating disorder,https://t.co/YoNzN0WDAy,,False,237,354,0,Sun Jul 26 18:51:13 +0000 2020,219,,,False,False,1204,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_images/1333700593597214720/aH7qBTmq_normal.jpg,https://pbs.twimg.com/profile_banners/1287460438557560834/1606813964,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
