,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,{'urls': []},False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id_str,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,2914227966,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_screen_name,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,EliteDreamStar,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
geo,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
coordinates,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
place,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
contributors,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
is_quote_status,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
retweet_count,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
favorite_count,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
favorited,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
retweeted,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
lang,3227109748,3227109748,Chieh_plays,Chieh_Plays,,,| failed artist | f | 21 | loves videogames and anime | plays Roblox |,,,False,55,192,0,Fri May 01 21:54:02 +0000 2015,2173,,,False,False,2731,,en,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_images/1315522936221184000/oAwrRqfY_normal.jpg,https://pbs.twimg.com/profile_banners/3227109748/1595851403,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
