,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1209891338247950337,1209891338247950337,tie²⁸ ¹ᴰ check out my carrd!!,tpwkmattiee,sunflower field :),,#HARRY: poutine | ot5 | 14 | she/her | tpwk ♡,https://t.co/FsvbHYqRWt,"{'urls': [{'url': 'https://t.co/FsvbHYqRWt', 'expanded_url': 'https://tpwkmattiee.carrd.co', 'display_url': 'tpwkmattiee.carrd.co', 'indices': [0, 23]}]}",False,420,497,0,Wed Dec 25 17:39:18 +0000 2019,2277,,,False,False,2287,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_banners/1209891338247950337/1606878710,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1209891338247950337,1209891338247950337,tie²⁸ ¹ᴰ check out my carrd!!,tpwkmattiee,sunflower field :),,#HARRY: poutine | ot5 | 14 | she/her | tpwk ♡,https://t.co/FsvbHYqRWt,,False,420,497,0,Wed Dec 25 17:39:18 +0000 2019,2277,,,False,False,2287,,1209891338247950337,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_banners/1209891338247950337/1606878710,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1209891338247950337,1209891338247950337,tie²⁸ ¹ᴰ check out my carrd!!,tpwkmattiee,sunflower field :),,#HARRY: poutine | ot5 | 14 | she/her | tpwk ♡,https://t.co/FsvbHYqRWt,,False,420,497,0,Wed Dec 25 17:39:18 +0000 2019,2277,,,False,False,2287,,1209891338247950337,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_banners/1209891338247950337/1606878710,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1209891338247950337,1209891338247950337,tie²⁸ ¹ᴰ check out my carrd!!,tpwkmattiee,sunflower field :),,#HARRY: poutine | ot5 | 14 | she/her | tpwk ♡,https://t.co/FsvbHYqRWt,,False,420,497,0,Wed Dec 25 17:39:18 +0000 2019,2277,,,False,False,2287,,tpwkmattiee,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_banners/1209891338247950337/1606878710,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1209891338247950337,1209891338247950337,tie²⁸ ¹ᴰ check out my carrd!!,tpwkmattiee,sunflower field :),,#HARRY: poutine | ot5 | 14 | she/her | tpwk ♡,https://t.co/FsvbHYqRWt,,False,420,497,0,Wed Dec 25 17:39:18 +0000 2019,2277,,,False,False,2287,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_banners/1209891338247950337/1606878710,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1209891338247950337,1209891338247950337,tie²⁸ ¹ᴰ check out my carrd!!,tpwkmattiee,sunflower field :),,#HARRY: poutine | ot5 | 14 | she/her | tpwk ♡,https://t.co/FsvbHYqRWt,,False,420,497,0,Wed Dec 25 17:39:18 +0000 2019,2277,,,False,False,2287,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_banners/1209891338247950337/1606878710,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1209891338247950337,1209891338247950337,tie²⁸ ¹ᴰ check out my carrd!!,tpwkmattiee,sunflower field :),,#HARRY: poutine | ot5 | 14 | she/her | tpwk ♡,https://t.co/FsvbHYqRWt,,False,420,497,0,Wed Dec 25 17:39:18 +0000 2019,2277,,,False,False,2287,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_banners/1209891338247950337/1606878710,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1209891338247950337,1209891338247950337,tie²⁸ ¹ᴰ check out my carrd!!,tpwkmattiee,sunflower field :),,#HARRY: poutine | ot5 | 14 | she/her | tpwk ♡,https://t.co/FsvbHYqRWt,,False,420,497,0,Wed Dec 25 17:39:18 +0000 2019,2277,,,False,False,2287,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_banners/1209891338247950337/1606878710,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1209891338247950337,1209891338247950337,tie²⁸ ¹ᴰ check out my carrd!!,tpwkmattiee,sunflower field :),,#HARRY: poutine | ot5 | 14 | she/her | tpwk ♡,https://t.co/FsvbHYqRWt,,False,420,497,0,Wed Dec 25 17:39:18 +0000 2019,2277,,,False,False,2287,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_banners/1209891338247950337/1606878710,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1209891338247950337,1209891338247950337,tie²⁸ ¹ᴰ check out my carrd!!,tpwkmattiee,sunflower field :),,#HARRY: poutine | ot5 | 14 | she/her | tpwk ♡,https://t.co/FsvbHYqRWt,,False,420,497,0,Wed Dec 25 17:39:18 +0000 2019,2277,,,False,False,2287,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_banners/1209891338247950337/1606878710,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1209891338247950337,1209891338247950337,tie²⁸ ¹ᴰ check out my carrd!!,tpwkmattiee,sunflower field :),,#HARRY: poutine | ot5 | 14 | she/her | tpwk ♡,https://t.co/FsvbHYqRWt,,False,420,497,0,Wed Dec 25 17:39:18 +0000 2019,2277,,,False,False,2287,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_banners/1209891338247950337/1606878710,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1209891338247950337,1209891338247950337,tie²⁸ ¹ᴰ check out my carrd!!,tpwkmattiee,sunflower field :),,#HARRY: poutine | ot5 | 14 | she/her | tpwk ♡,https://t.co/FsvbHYqRWt,,False,420,497,0,Wed Dec 25 17:39:18 +0000 2019,2277,,,False,False,2287,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_banners/1209891338247950337/1606878710,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1209891338247950337,1209891338247950337,tie²⁸ ¹ᴰ check out my carrd!!,tpwkmattiee,sunflower field :),,#HARRY: poutine | ot5 | 14 | she/her | tpwk ♡,https://t.co/FsvbHYqRWt,,False,420,497,0,Wed Dec 25 17:39:18 +0000 2019,2277,,,False,False,2287,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_banners/1209891338247950337/1606878710,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1209891338247950337,1209891338247950337,tie²⁸ ¹ᴰ check out my carrd!!,tpwkmattiee,sunflower field :),,#HARRY: poutine | ot5 | 14 | she/her | tpwk ♡,https://t.co/FsvbHYqRWt,,False,420,497,0,Wed Dec 25 17:39:18 +0000 2019,2277,,,False,False,2287,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_images/1333972049321222151/eWbVl_EC_normal.jpg,https://pbs.twimg.com/profile_banners/1209891338247950337/1606878710,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
