,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,"{'urls': [{'url': 'https://t.co/HygxZrY18Z', 'expanded_url': 'https://endsars.carrd.co/', 'display_url': 'endsars.carrd.co', 'indices': [0, 23]}]}",False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
in_reply_to_user_id,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,1311359934076989441,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
in_reply_to_user_id_str,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,1311359934076989441,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
in_reply_to_screen_name,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,gisellesweet_,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
geo,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
coordinates,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
place,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
contributors,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
is_quote_status,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,False,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
retweet_count,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,0,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
favorite_count,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,1,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
favorited,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,False,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
retweeted,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,False,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
lang,2868363785,2868363785,jada 🎄,needyhss,,,you are loved and you matter! | ariana and melanie | fan account | she/her,https://t.co/HygxZrY18Z,,False,3173,589,46,Sun Nov 09 03:03:19 +0000 2014,320707,,,False,False,40860,,en,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,True,http://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_images/1338462370469961734/2Fe4laxr_normal.jpg,https://pbs.twimg.com/profile_banners/2868363785/1607949272,F5ABB5,000000,000000,000000,True,True,False,False,False,False,False,none
