,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,{'urls': []},False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted_status,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,"{'created_at': 'Tue Dec 15 01:52:32 +0000 2020', 'id': 1338663197830733825, 'id_str': '1338663197830733825', 'text': 'Hey guess what Trump lost the election again today', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 18, 'favorite_count': 369, 'favorited': False, 'retweeted': False, 'lang': 'en'}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,18,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,3116541329,3116541329,Christy🏳️‍🌈,stargazelle_,"Alabama, USA",,💖💜💙 🏳️‍🌈 Secular Humanist/Open-Minded Atheist 🌎 JSU Grad || #actuallyautistic || Mental Health Advocate,,,False,1196,1425,5,Thu Mar 26 00:37:55 +0000 2015,35944,,,True,False,7779,,en,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_images/1336478230942011393/v5zxKOm__normal.jpg,https://pbs.twimg.com/profile_banners/3116541329/1586729341,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
