,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,916693603107332096,916693603107332096,.⋆🍃𝓩𝓮𝓵𝓲𝓵𝔂 🧸🌿•°⋆ || reading,cygnushydra,(she/her) • 23 🕊️ •,,❝ Evil expects evil from others. ❞ || my chibi L's : @kakerukicks🗿@nanamiukyo🗿 || 𝙍𝙀𝘼𝘿 𝘾𝘼𝙍𝙍𝘿 𝘽𝙔𝙁‼️‼ || lil bit 🔞 || twinnie @mereoleonaswifu 🌟,https://t.co/y2RSqQokeq,"{'urls': [{'url': 'https://t.co/y2RSqQokeq', 'expanded_url': 'http://tentaclescum.carrd.co', 'display_url': 'tentaclescum.carrd.co', 'indices': [0, 23]}]}",False,58,167,8,Sat Oct 07 15:56:01 +0000 2017,69291,,,False,False,50692,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_banners/916693603107332096/1608011301,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id,916693603107332096,916693603107332096,.⋆🍃𝓩𝓮𝓵𝓲𝓵𝔂 🧸🌿•°⋆ || reading,cygnushydra,(she/her) • 23 🕊️ •,,❝ Evil expects evil from others. ❞ || my chibi L's : @kakerukicks🗿@nanamiukyo🗿 || 𝙍𝙀𝘼𝘿 𝘾𝘼𝙍𝙍𝘿 𝘽𝙔𝙁‼️‼ || lil bit 🔞 || twinnie @mereoleonaswifu 🌟,https://t.co/y2RSqQokeq,,False,58,167,8,Sat Oct 07 15:56:01 +0000 2017,69291,,,False,False,50692,,1212965402055041024,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_banners/916693603107332096/1608011301,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id_str,916693603107332096,916693603107332096,.⋆🍃𝓩𝓮𝓵𝓲𝓵𝔂 🧸🌿•°⋆ || reading,cygnushydra,(she/her) • 23 🕊️ •,,❝ Evil expects evil from others. ❞ || my chibi L's : @kakerukicks🗿@nanamiukyo🗿 || 𝙍𝙀𝘼𝘿 𝘾𝘼𝙍𝙍𝘿 𝘽𝙔𝙁‼️‼ || lil bit 🔞 || twinnie @mereoleonaswifu 🌟,https://t.co/y2RSqQokeq,,False,58,167,8,Sat Oct 07 15:56:01 +0000 2017,69291,,,False,False,50692,,1212965402055041024,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_banners/916693603107332096/1608011301,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_screen_name,916693603107332096,916693603107332096,.⋆🍃𝓩𝓮𝓵𝓲𝓵𝔂 🧸🌿•°⋆ || reading,cygnushydra,(she/her) • 23 🕊️ •,,❝ Evil expects evil from others. ❞ || my chibi L's : @kakerukicks🗿@nanamiukyo🗿 || 𝙍𝙀𝘼𝘿 𝘾𝘼𝙍𝙍𝘿 𝘽𝙔𝙁‼️‼ || lil bit 🔞 || twinnie @mereoleonaswifu 🌟,https://t.co/y2RSqQokeq,,False,58,167,8,Sat Oct 07 15:56:01 +0000 2017,69291,,,False,False,50692,,kiseexcy,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_banners/916693603107332096/1608011301,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
geo,916693603107332096,916693603107332096,.⋆🍃𝓩𝓮𝓵𝓲𝓵𝔂 🧸🌿•°⋆ || reading,cygnushydra,(she/her) • 23 🕊️ •,,❝ Evil expects evil from others. ❞ || my chibi L's : @kakerukicks🗿@nanamiukyo🗿 || 𝙍𝙀𝘼𝘿 𝘾𝘼𝙍𝙍𝘿 𝘽𝙔𝙁‼️‼ || lil bit 🔞 || twinnie @mereoleonaswifu 🌟,https://t.co/y2RSqQokeq,,False,58,167,8,Sat Oct 07 15:56:01 +0000 2017,69291,,,False,False,50692,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_banners/916693603107332096/1608011301,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
coordinates,916693603107332096,916693603107332096,.⋆🍃𝓩𝓮𝓵𝓲𝓵𝔂 🧸🌿•°⋆ || reading,cygnushydra,(she/her) • 23 🕊️ •,,❝ Evil expects evil from others. ❞ || my chibi L's : @kakerukicks🗿@nanamiukyo🗿 || 𝙍𝙀𝘼𝘿 𝘾𝘼𝙍𝙍𝘿 𝘽𝙔𝙁‼️‼ || lil bit 🔞 || twinnie @mereoleonaswifu 🌟,https://t.co/y2RSqQokeq,,False,58,167,8,Sat Oct 07 15:56:01 +0000 2017,69291,,,False,False,50692,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_banners/916693603107332096/1608011301,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
place,916693603107332096,916693603107332096,.⋆🍃𝓩𝓮𝓵𝓲𝓵𝔂 🧸🌿•°⋆ || reading,cygnushydra,(she/her) • 23 🕊️ •,,❝ Evil expects evil from others. ❞ || my chibi L's : @kakerukicks🗿@nanamiukyo🗿 || 𝙍𝙀𝘼𝘿 𝘾𝘼𝙍𝙍𝘿 𝘽𝙔𝙁‼️‼ || lil bit 🔞 || twinnie @mereoleonaswifu 🌟,https://t.co/y2RSqQokeq,,False,58,167,8,Sat Oct 07 15:56:01 +0000 2017,69291,,,False,False,50692,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_banners/916693603107332096/1608011301,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
contributors,916693603107332096,916693603107332096,.⋆🍃𝓩𝓮𝓵𝓲𝓵𝔂 🧸🌿•°⋆ || reading,cygnushydra,(she/her) • 23 🕊️ •,,❝ Evil expects evil from others. ❞ || my chibi L's : @kakerukicks🗿@nanamiukyo🗿 || 𝙍𝙀𝘼𝘿 𝘾𝘼𝙍𝙍𝘿 𝘽𝙔𝙁‼️‼ || lil bit 🔞 || twinnie @mereoleonaswifu 🌟,https://t.co/y2RSqQokeq,,False,58,167,8,Sat Oct 07 15:56:01 +0000 2017,69291,,,False,False,50692,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_banners/916693603107332096/1608011301,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
is_quote_status,916693603107332096,916693603107332096,.⋆🍃𝓩𝓮𝓵𝓲𝓵𝔂 🧸🌿•°⋆ || reading,cygnushydra,(she/her) • 23 🕊️ •,,❝ Evil expects evil from others. ❞ || my chibi L's : @kakerukicks🗿@nanamiukyo🗿 || 𝙍𝙀𝘼𝘿 𝘾𝘼𝙍𝙍𝘿 𝘽𝙔𝙁‼️‼ || lil bit 🔞 || twinnie @mereoleonaswifu 🌟,https://t.co/y2RSqQokeq,,False,58,167,8,Sat Oct 07 15:56:01 +0000 2017,69291,,,False,False,50692,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_banners/916693603107332096/1608011301,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
retweet_count,916693603107332096,916693603107332096,.⋆🍃𝓩𝓮𝓵𝓲𝓵𝔂 🧸🌿•°⋆ || reading,cygnushydra,(she/her) • 23 🕊️ •,,❝ Evil expects evil from others. ❞ || my chibi L's : @kakerukicks🗿@nanamiukyo🗿 || 𝙍𝙀𝘼𝘿 𝘾𝘼𝙍𝙍𝘿 𝘽𝙔𝙁‼️‼ || lil bit 🔞 || twinnie @mereoleonaswifu 🌟,https://t.co/y2RSqQokeq,,False,58,167,8,Sat Oct 07 15:56:01 +0000 2017,69291,,,False,False,50692,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_banners/916693603107332096/1608011301,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
favorite_count,916693603107332096,916693603107332096,.⋆🍃𝓩𝓮𝓵𝓲𝓵𝔂 🧸🌿•°⋆ || reading,cygnushydra,(she/her) • 23 🕊️ •,,❝ Evil expects evil from others. ❞ || my chibi L's : @kakerukicks🗿@nanamiukyo🗿 || 𝙍𝙀𝘼𝘿 𝘾𝘼𝙍𝙍𝘿 𝘽𝙔𝙁‼️‼ || lil bit 🔞 || twinnie @mereoleonaswifu 🌟,https://t.co/y2RSqQokeq,,False,58,167,8,Sat Oct 07 15:56:01 +0000 2017,69291,,,False,False,50692,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_banners/916693603107332096/1608011301,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
favorited,916693603107332096,916693603107332096,.⋆🍃𝓩𝓮𝓵𝓲𝓵𝔂 🧸🌿•°⋆ || reading,cygnushydra,(she/her) • 23 🕊️ •,,❝ Evil expects evil from others. ❞ || my chibi L's : @kakerukicks🗿@nanamiukyo🗿 || 𝙍𝙀𝘼𝘿 𝘾𝘼𝙍𝙍𝘿 𝘽𝙔𝙁‼️‼ || lil bit 🔞 || twinnie @mereoleonaswifu 🌟,https://t.co/y2RSqQokeq,,False,58,167,8,Sat Oct 07 15:56:01 +0000 2017,69291,,,False,False,50692,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_banners/916693603107332096/1608011301,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
retweeted,916693603107332096,916693603107332096,.⋆🍃𝓩𝓮𝓵𝓲𝓵𝔂 🧸🌿•°⋆ || reading,cygnushydra,(she/her) • 23 🕊️ •,,❝ Evil expects evil from others. ❞ || my chibi L's : @kakerukicks🗿@nanamiukyo🗿 || 𝙍𝙀𝘼𝘿 𝘾𝘼𝙍𝙍𝘿 𝘽𝙔𝙁‼️‼ || lil bit 🔞 || twinnie @mereoleonaswifu 🌟,https://t.co/y2RSqQokeq,,False,58,167,8,Sat Oct 07 15:56:01 +0000 2017,69291,,,False,False,50692,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_banners/916693603107332096/1608011301,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
lang,916693603107332096,916693603107332096,.⋆🍃𝓩𝓮𝓵𝓲𝓵𝔂 🧸🌿•°⋆ || reading,cygnushydra,(she/her) • 23 🕊️ •,,❝ Evil expects evil from others. ❞ || my chibi L's : @kakerukicks🗿@nanamiukyo🗿 || 𝙍𝙀𝘼𝘿 𝘾𝘼𝙍𝙍𝘿 𝘽𝙔𝙁‼️‼ || lil bit 🔞 || twinnie @mereoleonaswifu 🌟,https://t.co/y2RSqQokeq,,False,58,167,8,Sat Oct 07 15:56:01 +0000 2017,69291,,,False,False,50692,,en,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_images/1338735849790291972/XHik09w2_normal.jpg,https://pbs.twimg.com/profile_banners/916693603107332096/1608011301,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
