,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
in_reply_to_user_id,1105236994513424385,1105236994513424385,Confused screaming(he/they)💜,Thirsty_Demiboy,Single not really tryna mingle,,@ImaYellowSnek @Ever_But_Never are my kids| Black lives matter| Anti- MAPs / ZOOs| Atheist| Baby witch| AFAB testin out he/they|Minor |Pfp obvi isnt my art,,,False,126,141,6,Mon Mar 11 22:40:08 +0000 2019,9988,,,False,False,2699,,1313981500220727296,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_banners/1105236994513424385/1607994553,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1105236994513424385,1105236994513424385,Confused screaming(he/they)💜,Thirsty_Demiboy,Single not really tryna mingle,,@ImaYellowSnek @Ever_But_Never are my kids| Black lives matter| Anti- MAPs / ZOOs| Atheist| Baby witch| AFAB testin out he/they|Minor |Pfp obvi isnt my art,,,False,126,141,6,Mon Mar 11 22:40:08 +0000 2019,9988,,,False,False,2699,,1313981500220727296,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_banners/1105236994513424385/1607994553,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1105236994513424385,1105236994513424385,Confused screaming(he/they)💜,Thirsty_Demiboy,Single not really tryna mingle,,@ImaYellowSnek @Ever_But_Never are my kids| Black lives matter| Anti- MAPs / ZOOs| Atheist| Baby witch| AFAB testin out he/they|Minor |Pfp obvi isnt my art,,,False,126,141,6,Mon Mar 11 22:40:08 +0000 2019,9988,,,False,False,2699,,ImaYellowSnek,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_banners/1105236994513424385/1607994553,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1105236994513424385,1105236994513424385,Confused screaming(he/they)💜,Thirsty_Demiboy,Single not really tryna mingle,,@ImaYellowSnek @Ever_But_Never are my kids| Black lives matter| Anti- MAPs / ZOOs| Atheist| Baby witch| AFAB testin out he/they|Minor |Pfp obvi isnt my art,,,False,126,141,6,Mon Mar 11 22:40:08 +0000 2019,9988,,,False,False,2699,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_banners/1105236994513424385/1607994553,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1105236994513424385,1105236994513424385,Confused screaming(he/they)💜,Thirsty_Demiboy,Single not really tryna mingle,,@ImaYellowSnek @Ever_But_Never are my kids| Black lives matter| Anti- MAPs / ZOOs| Atheist| Baby witch| AFAB testin out he/they|Minor |Pfp obvi isnt my art,,,False,126,141,6,Mon Mar 11 22:40:08 +0000 2019,9988,,,False,False,2699,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_banners/1105236994513424385/1607994553,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1105236994513424385,1105236994513424385,Confused screaming(he/they)💜,Thirsty_Demiboy,Single not really tryna mingle,,@ImaYellowSnek @Ever_But_Never are my kids| Black lives matter| Anti- MAPs / ZOOs| Atheist| Baby witch| AFAB testin out he/they|Minor |Pfp obvi isnt my art,,,False,126,141,6,Mon Mar 11 22:40:08 +0000 2019,9988,,,False,False,2699,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_banners/1105236994513424385/1607994553,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1105236994513424385,1105236994513424385,Confused screaming(he/they)💜,Thirsty_Demiboy,Single not really tryna mingle,,@ImaYellowSnek @Ever_But_Never are my kids| Black lives matter| Anti- MAPs / ZOOs| Atheist| Baby witch| AFAB testin out he/they|Minor |Pfp obvi isnt my art,,,False,126,141,6,Mon Mar 11 22:40:08 +0000 2019,9988,,,False,False,2699,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_banners/1105236994513424385/1607994553,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1105236994513424385,1105236994513424385,Confused screaming(he/they)💜,Thirsty_Demiboy,Single not really tryna mingle,,@ImaYellowSnek @Ever_But_Never are my kids| Black lives matter| Anti- MAPs / ZOOs| Atheist| Baby witch| AFAB testin out he/they|Minor |Pfp obvi isnt my art,,,False,126,141,6,Mon Mar 11 22:40:08 +0000 2019,9988,,,False,False,2699,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_banners/1105236994513424385/1607994553,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1105236994513424385,1105236994513424385,Confused screaming(he/they)💜,Thirsty_Demiboy,Single not really tryna mingle,,@ImaYellowSnek @Ever_But_Never are my kids| Black lives matter| Anti- MAPs / ZOOs| Atheist| Baby witch| AFAB testin out he/they|Minor |Pfp obvi isnt my art,,,False,126,141,6,Mon Mar 11 22:40:08 +0000 2019,9988,,,False,False,2699,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_banners/1105236994513424385/1607994553,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1105236994513424385,1105236994513424385,Confused screaming(he/they)💜,Thirsty_Demiboy,Single not really tryna mingle,,@ImaYellowSnek @Ever_But_Never are my kids| Black lives matter| Anti- MAPs / ZOOs| Atheist| Baby witch| AFAB testin out he/they|Minor |Pfp obvi isnt my art,,,False,126,141,6,Mon Mar 11 22:40:08 +0000 2019,9988,,,False,False,2699,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_banners/1105236994513424385/1607994553,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1105236994513424385,1105236994513424385,Confused screaming(he/they)💜,Thirsty_Demiboy,Single not really tryna mingle,,@ImaYellowSnek @Ever_But_Never are my kids| Black lives matter| Anti- MAPs / ZOOs| Atheist| Baby witch| AFAB testin out he/they|Minor |Pfp obvi isnt my art,,,False,126,141,6,Mon Mar 11 22:40:08 +0000 2019,9988,,,False,False,2699,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_banners/1105236994513424385/1607994553,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1105236994513424385,1105236994513424385,Confused screaming(he/they)💜,Thirsty_Demiboy,Single not really tryna mingle,,@ImaYellowSnek @Ever_But_Never are my kids| Black lives matter| Anti- MAPs / ZOOs| Atheist| Baby witch| AFAB testin out he/they|Minor |Pfp obvi isnt my art,,,False,126,141,6,Mon Mar 11 22:40:08 +0000 2019,9988,,,False,False,2699,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_banners/1105236994513424385/1607994553,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1105236994513424385,1105236994513424385,Confused screaming(he/they)💜,Thirsty_Demiboy,Single not really tryna mingle,,@ImaYellowSnek @Ever_But_Never are my kids| Black lives matter| Anti- MAPs / ZOOs| Atheist| Baby witch| AFAB testin out he/they|Minor |Pfp obvi isnt my art,,,False,126,141,6,Mon Mar 11 22:40:08 +0000 2019,9988,,,False,False,2699,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_images/1338614056723357696/DeMYaX3q_normal.jpg,https://pbs.twimg.com/profile_banners/1105236994513424385/1607994553,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
