,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,"{'urls': [{'url': 'https://t.co/8qpZo7DzjT', 'expanded_url': 'https://www.eptxyds.org/join-us', 'display_url': 'eptxyds.org/join-us', 'indices': [0, 23]}]}",False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted_status,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,"{'created_at': 'Mon Dec 14 16:40:32 +0000 2020', 'id': 1338524283350495239, 'id_str': '1338524283350495239', 'text': 'Men literally only want one thing and it’s disgusting. https://t.co/xxDiFyZ2EC', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338524275330985991, 'id_str': '1338524275330985991', 'indices': [55, 78], 'media_url': 'http://pbs.twimg.com/media/EpNkvJJXMAcKyFb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpNkvJJXMAcKyFb.jpg', 'url': 'https://t.co/xxDiFyZ2EC', 'display_url': 'pic.twitter.com/xxDiFyZ2EC', 'expanded_url': 'https://twitter.com/Steminist_/status/1338524283350495239/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1119, 'h': 629, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'large': {'w': 1119, 'h': 629, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1338524275330985991, 'id_str': '1338524275330985991', 'indices': [55, 78], 'media_url': 'http://pbs.twimg.com/media/EpNkvJJXMAcKyFb.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpNkvJJXMAcKyFb.jpg', 'url': 'https://t.co/xxDiFyZ2EC', 'display_url': 'pic.twitter.com/xxDiFyZ2EC', 'expanded_url': 'https://twitter.com/Steminist_/status/1338524283350495239/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 1119, 'h': 629, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 382, 'resize': 'fit'}, 'large': {'w': 1119, 'h': 629, 'resize': 'fit'}}}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': {'id': '9a53907e0162ef32', 'url': 'https://api.twitter.com/1.1/geo/id/9a53907e0162ef32.json', 'place_type': 'city', 'name': 'Havre de Grace', 'full_name': 'Havre de Grace, MD', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-76.149302, 39.520279], [-76.08356, 39.520279], [-76.08356, 39.5753991], [-76.149302, 39.5753991]]]}, 'attributes': {}}, 'contributors': None, 'is_quote_status': False, 'retweet_count': 3854, 'favorite_count': 30603, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,3854,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
possibly_sensitive,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,800520136910245888,800520136910245888,ruffles!,notthechips,ep•tx,,19 | vibologist | he/him,https://t.co/8qpZo7DzjT,,False,1883,1440,18,Mon Nov 21 02:04:08 +0000 2016,124504,,,True,False,30280,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_images/1338353549399355392/lgSnFyMk_normal.jpg,https://pbs.twimg.com/profile_banners/800520136910245888/1606436495,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
