,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1224573479531532289,1224573479531532289,Kout Theil👑🇸🇸,aweilchief,"Dallas, TX",,Follower of Jesus | A Father | Life Long Learner,,{'urls': []},False,355,249,0,Tue Feb 04 06:00:59 +0000 2020,3462,,,False,False,2743,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_banners/1224573479531532289/1606675776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1224573479531532289,1224573479531532289,Kout Theil👑🇸🇸,aweilchief,"Dallas, TX",,Follower of Jesus | A Father | Life Long Learner,,,False,355,249,0,Tue Feb 04 06:00:59 +0000 2020,3462,,,False,False,2743,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_banners/1224573479531532289/1606675776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1224573479531532289,1224573479531532289,Kout Theil👑🇸🇸,aweilchief,"Dallas, TX",,Follower of Jesus | A Father | Life Long Learner,,,False,355,249,0,Tue Feb 04 06:00:59 +0000 2020,3462,,,False,False,2743,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_banners/1224573479531532289/1606675776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1224573479531532289,1224573479531532289,Kout Theil👑🇸🇸,aweilchief,"Dallas, TX",,Follower of Jesus | A Father | Life Long Learner,,,False,355,249,0,Tue Feb 04 06:00:59 +0000 2020,3462,,,False,False,2743,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_banners/1224573479531532289/1606675776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1224573479531532289,1224573479531532289,Kout Theil👑🇸🇸,aweilchief,"Dallas, TX",,Follower of Jesus | A Father | Life Long Learner,,,False,355,249,0,Tue Feb 04 06:00:59 +0000 2020,3462,,,False,False,2743,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_banners/1224573479531532289/1606675776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1224573479531532289,1224573479531532289,Kout Theil👑🇸🇸,aweilchief,"Dallas, TX",,Follower of Jesus | A Father | Life Long Learner,,,False,355,249,0,Tue Feb 04 06:00:59 +0000 2020,3462,,,False,False,2743,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_banners/1224573479531532289/1606675776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1224573479531532289,1224573479531532289,Kout Theil👑🇸🇸,aweilchief,"Dallas, TX",,Follower of Jesus | A Father | Life Long Learner,,,False,355,249,0,Tue Feb 04 06:00:59 +0000 2020,3462,,,False,False,2743,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_banners/1224573479531532289/1606675776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1224573479531532289,1224573479531532289,Kout Theil👑🇸🇸,aweilchief,"Dallas, TX",,Follower of Jesus | A Father | Life Long Learner,,,False,355,249,0,Tue Feb 04 06:00:59 +0000 2020,3462,,,False,False,2743,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_banners/1224573479531532289/1606675776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1224573479531532289,1224573479531532289,Kout Theil👑🇸🇸,aweilchief,"Dallas, TX",,Follower of Jesus | A Father | Life Long Learner,,,False,355,249,0,Tue Feb 04 06:00:59 +0000 2020,3462,,,False,False,2743,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_banners/1224573479531532289/1606675776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1224573479531532289,1224573479531532289,Kout Theil👑🇸🇸,aweilchief,"Dallas, TX",,Follower of Jesus | A Father | Life Long Learner,,,False,355,249,0,Tue Feb 04 06:00:59 +0000 2020,3462,,,False,False,2743,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_banners/1224573479531532289/1606675776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1224573479531532289,1224573479531532289,Kout Theil👑🇸🇸,aweilchief,"Dallas, TX",,Follower of Jesus | A Father | Life Long Learner,,,False,355,249,0,Tue Feb 04 06:00:59 +0000 2020,3462,,,False,False,2743,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_banners/1224573479531532289/1606675776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1224573479531532289,1224573479531532289,Kout Theil👑🇸🇸,aweilchief,"Dallas, TX",,Follower of Jesus | A Father | Life Long Learner,,,False,355,249,0,Tue Feb 04 06:00:59 +0000 2020,3462,,,False,False,2743,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_banners/1224573479531532289/1606675776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1224573479531532289,1224573479531532289,Kout Theil👑🇸🇸,aweilchief,"Dallas, TX",,Follower of Jesus | A Father | Life Long Learner,,,False,355,249,0,Tue Feb 04 06:00:59 +0000 2020,3462,,,False,False,2743,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_images/1224574171641974784/ySV6tqS5_normal.jpg,https://pbs.twimg.com/profile_banners/1224573479531532289/1606675776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
