,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,"{'urls': [{'url': 'https://t.co/vUF3ESRZvE', 'expanded_url': 'https://joshpflynn.contently.com/', 'display_url': 'joshpflynn.contently.com', 'indices': [0, 23]}]}",False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id_str,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id_str,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_screen_name,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
geo,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
coordinates,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
place,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
contributors,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
is_quote_status,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
retweet_count,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
favorite_count,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,4,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
favorited,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
retweeted,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
possibly_sensitive,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
lang,23690484,23690484,Josh,JoshFlynn,Indiana,,Journalist. Articles: @IndyMonthly @NuvoIndy @SlamOnline @LibArtsIUPUI | Gamer | Anxiety fighter | David Lynch fan,https://t.co/vUF3ESRZvE,,False,484,375,17,Wed Mar 11 00:30:28 +0000 2009,30197,,,False,False,36478,,en,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_images/1311671715643248644/osVjuQt-_normal.jpg,https://pbs.twimg.com/profile_banners/23690484/1515709498,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
