,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
in_reply_to_screen_name,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted_status,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,"{'created_at': 'Sat Sep 17 18:43:36 +0000 2011', 'id': 115133821028024320, 'id_str': '115133821028024320', 'text': '@zaynmalik love you too bro...even though you make my belly button glow in the dark.', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'zaynmalik', 'name': 'zayn', 'id': 176566242, 'id_str': '176566242', 'indices': [0, 10]}], 'urls': []}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': 115130210994765824, 'in_reply_to_status_id_str': '115130210994765824', 'in_reply_to_user_id': 176566242, 'in_reply_to_user_id_str': '176566242', 'in_reply_to_screen_name': 'zaynmalik', 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 88188, 'favorite_count': 104695, 'favorited': False, 'retweeted': False, 'lang': 'en'}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,88188,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1163600753937801217,1163600753937801217,angel 🍄 PINNED IF UNF,babyhslot,"feel you on my neck while i'm calling a taxi, climbing over me while i climb in the backseat; now we're taking off, now we're taking it off tonight",,— lourrie ً࿐ ࿔*:･ﾟ ᵎᵎ SHE¡HER ²⁸,https://t.co/IFpV0CNVsU,,False,1419,1028,21,Mon Aug 19 23:56:59 +0000 2019,44399,,,False,False,33295,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_images/1338607983736082432/72XaSZfd_normal.jpg,https://pbs.twimg.com/profile_banners/1163600753937801217/1607983989,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
