,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,{'urls': []},False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,1304887467833782273,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,mikasalbs,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,1,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1314662763659227143,1314662763659227143,gloss ♡ aloe superiority,glosslino,ed nsfw sh || 16,,she/they | vent acc | hard gore dni,,,False,333,229,10,Fri Oct 09 20:23:45 +0000 2020,8600,,,False,False,6216,,und,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_images/1333485512330534918/mi_dDpSv_normal.jpg,https://pbs.twimg.com/profile_banners/1314662763659227143/1607457045,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
