,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,946728872036278273,946728872036278273,Enteng ❄ | Academically Unhinged,EntengP2L,"Bathroom, thinking about life",,"🇵🇭| He/Him | Bi | Hobby artist trying to find his niche and hone his craft. Caffeinated, crepuscular, cryptid. Shitposts, occasionally.",https://t.co/xZdC0nHE3j,"{'urls': [{'url': 'https://t.co/xZdC0nHE3j', 'expanded_url': 'https://entengp2l.carrd.co/', 'display_url': 'entengp2l.carrd.co', 'indices': [0, 23]}]}",False,131,280,2,Fri Dec 29 13:05:27 +0000 2017,28764,,,False,False,4669,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_banners/946728872036278273/1606232626,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id,946728872036278273,946728872036278273,Enteng ❄ | Academically Unhinged,EntengP2L,"Bathroom, thinking about life",,"🇵🇭| He/Him | Bi | Hobby artist trying to find his niche and hone his craft. Caffeinated, crepuscular, cryptid. Shitposts, occasionally.",https://t.co/xZdC0nHE3j,,False,131,280,2,Fri Dec 29 13:05:27 +0000 2017,28764,,,False,False,4669,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_banners/946728872036278273/1606232626,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id_str,946728872036278273,946728872036278273,Enteng ❄ | Academically Unhinged,EntengP2L,"Bathroom, thinking about life",,"🇵🇭| He/Him | Bi | Hobby artist trying to find his niche and hone his craft. Caffeinated, crepuscular, cryptid. Shitposts, occasionally.",https://t.co/xZdC0nHE3j,,False,131,280,2,Fri Dec 29 13:05:27 +0000 2017,28764,,,False,False,4669,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_banners/946728872036278273/1606232626,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_screen_name,946728872036278273,946728872036278273,Enteng ❄ | Academically Unhinged,EntengP2L,"Bathroom, thinking about life",,"🇵🇭| He/Him | Bi | Hobby artist trying to find his niche and hone his craft. Caffeinated, crepuscular, cryptid. Shitposts, occasionally.",https://t.co/xZdC0nHE3j,,False,131,280,2,Fri Dec 29 13:05:27 +0000 2017,28764,,,False,False,4669,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_banners/946728872036278273/1606232626,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none
geo,946728872036278273,946728872036278273,Enteng ❄ | Academically Unhinged,EntengP2L,"Bathroom, thinking about life",,"🇵🇭| He/Him | Bi | Hobby artist trying to find his niche and hone his craft. Caffeinated, crepuscular, cryptid. Shitposts, occasionally.",https://t.co/xZdC0nHE3j,,False,131,280,2,Fri Dec 29 13:05:27 +0000 2017,28764,,,False,False,4669,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_banners/946728872036278273/1606232626,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none
coordinates,946728872036278273,946728872036278273,Enteng ❄ | Academically Unhinged,EntengP2L,"Bathroom, thinking about life",,"🇵🇭| He/Him | Bi | Hobby artist trying to find his niche and hone his craft. Caffeinated, crepuscular, cryptid. Shitposts, occasionally.",https://t.co/xZdC0nHE3j,,False,131,280,2,Fri Dec 29 13:05:27 +0000 2017,28764,,,False,False,4669,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_banners/946728872036278273/1606232626,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none
place,946728872036278273,946728872036278273,Enteng ❄ | Academically Unhinged,EntengP2L,"Bathroom, thinking about life",,"🇵🇭| He/Him | Bi | Hobby artist trying to find his niche and hone his craft. Caffeinated, crepuscular, cryptid. Shitposts, occasionally.",https://t.co/xZdC0nHE3j,,False,131,280,2,Fri Dec 29 13:05:27 +0000 2017,28764,,,False,False,4669,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_banners/946728872036278273/1606232626,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none
contributors,946728872036278273,946728872036278273,Enteng ❄ | Academically Unhinged,EntengP2L,"Bathroom, thinking about life",,"🇵🇭| He/Him | Bi | Hobby artist trying to find his niche and hone his craft. Caffeinated, crepuscular, cryptid. Shitposts, occasionally.",https://t.co/xZdC0nHE3j,,False,131,280,2,Fri Dec 29 13:05:27 +0000 2017,28764,,,False,False,4669,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_banners/946728872036278273/1606232626,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none
is_quote_status,946728872036278273,946728872036278273,Enteng ❄ | Academically Unhinged,EntengP2L,"Bathroom, thinking about life",,"🇵🇭| He/Him | Bi | Hobby artist trying to find his niche and hone his craft. Caffeinated, crepuscular, cryptid. Shitposts, occasionally.",https://t.co/xZdC0nHE3j,,False,131,280,2,Fri Dec 29 13:05:27 +0000 2017,28764,,,False,False,4669,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_banners/946728872036278273/1606232626,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none
retweet_count,946728872036278273,946728872036278273,Enteng ❄ | Academically Unhinged,EntengP2L,"Bathroom, thinking about life",,"🇵🇭| He/Him | Bi | Hobby artist trying to find his niche and hone his craft. Caffeinated, crepuscular, cryptid. Shitposts, occasionally.",https://t.co/xZdC0nHE3j,,False,131,280,2,Fri Dec 29 13:05:27 +0000 2017,28764,,,False,False,4669,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_banners/946728872036278273/1606232626,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none
favorite_count,946728872036278273,946728872036278273,Enteng ❄ | Academically Unhinged,EntengP2L,"Bathroom, thinking about life",,"🇵🇭| He/Him | Bi | Hobby artist trying to find his niche and hone his craft. Caffeinated, crepuscular, cryptid. Shitposts, occasionally.",https://t.co/xZdC0nHE3j,,False,131,280,2,Fri Dec 29 13:05:27 +0000 2017,28764,,,False,False,4669,,1,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_banners/946728872036278273/1606232626,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none
favorited,946728872036278273,946728872036278273,Enteng ❄ | Academically Unhinged,EntengP2L,"Bathroom, thinking about life",,"🇵🇭| He/Him | Bi | Hobby artist trying to find his niche and hone his craft. Caffeinated, crepuscular, cryptid. Shitposts, occasionally.",https://t.co/xZdC0nHE3j,,False,131,280,2,Fri Dec 29 13:05:27 +0000 2017,28764,,,False,False,4669,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_banners/946728872036278273/1606232626,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none
retweeted,946728872036278273,946728872036278273,Enteng ❄ | Academically Unhinged,EntengP2L,"Bathroom, thinking about life",,"🇵🇭| He/Him | Bi | Hobby artist trying to find his niche and hone his craft. Caffeinated, crepuscular, cryptid. Shitposts, occasionally.",https://t.co/xZdC0nHE3j,,False,131,280,2,Fri Dec 29 13:05:27 +0000 2017,28764,,,False,False,4669,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_banners/946728872036278273/1606232626,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none
possibly_sensitive,946728872036278273,946728872036278273,Enteng ❄ | Academically Unhinged,EntengP2L,"Bathroom, thinking about life",,"🇵🇭| He/Him | Bi | Hobby artist trying to find his niche and hone his craft. Caffeinated, crepuscular, cryptid. Shitposts, occasionally.",https://t.co/xZdC0nHE3j,,False,131,280,2,Fri Dec 29 13:05:27 +0000 2017,28764,,,False,False,4669,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_banners/946728872036278273/1606232626,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none
lang,946728872036278273,946728872036278273,Enteng ❄ | Academically Unhinged,EntengP2L,"Bathroom, thinking about life",,"🇵🇭| He/Him | Bi | Hobby artist trying to find his niche and hone his craft. Caffeinated, crepuscular, cryptid. Shitposts, occasionally.",https://t.co/xZdC0nHE3j,,False,131,280,2,Fri Dec 29 13:05:27 +0000 2017,28764,,,False,False,4669,,en,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_images/1331262577205071873/-49uZzmX_normal.jpg,https://pbs.twimg.com/profile_banners/946728872036278273/1606232626,E81C4F,000000,000000,000000,False,True,False,False,False,False,False,none
