,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,{'urls': []},False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id_str,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,1245897356291256323,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_screen_name,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,TadeuszMrozek2,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
geo,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
coordinates,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
place,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
contributors,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
is_quote_status,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
retweet_count,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
favorite_count,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,2,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
favorited,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
retweeted,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
lang,1280350892240392193,1280350892240392193,NH Politics🪨,nhpol603,"New Hampshire, USA",,NH Politics | Crayon Maps | Not An Expert | @NHHTbot,,,False,1371,923,15,Tue Jul 07 04:00:24 +0000 2020,16124,,,False,False,8713,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_images/1324393839881236481/c4cKBiQ2_normal.jpg,https://pbs.twimg.com/profile_banners/1280350892240392193/1606234503,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
