,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,"{'urls': [{'url': 'https://t.co/4e5vFiQ2yo', 'expanded_url': 'http://shsl-sapphic.carrd.co', 'display_url': 'shsl-sapphic.carrd.co', 'indices': [0, 23]}]}",False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted_status,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,"{'created_at': 'Tue Dec 15 00:09:11 +0000 2020', 'id': 1338637188540604418, 'id_str': '1338637188540604418', 'text': 'idk who needs to hear this but fellow lgbt+ people can be biphobic. we said ynb is a bisexual anthem and i saw a LO… https://t.co/FcS7YXHoFh', 'truncated': True, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/FcS7YXHoFh', 'expanded_url': 'https://twitter.com/i/web/status/1338637188540604418', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 163, 'favorite_count': 1520, 'favorited': False, 'retweeted': False, 'lang': 'en'}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,163,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1108532167691235328,1108532167691235328,sam 🌩,mylmanburg,any pronouns | dyke,,priv: @shslsapphic || mw: @dogboykazuichi,https://t.co/4e5vFiQ2yo,,False,608,540,23,Thu Mar 21 00:53:59 +0000 2019,64766,,,True,False,19509,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_images/1335183768328421381/c6GXVSCG_normal.jpg,https://pbs.twimg.com/profile_banners/1108532167691235328/1607167700,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
