,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,336271751,336271751,nora,breaaaakdown,Georgia,,amplifying marginalized voices | Mariah Carey | bisexual | she/her | cisgender | hearing | able,https://t.co/ecrvBUK3Cr,"{'urls': [{'url': 'https://t.co/ecrvBUK3Cr', 'expanded_url': 'http://www.instagram.com/norabrown97', 'display_url': 'instagram.com/norabrown97', 'indices': [0, 23]}]}",False,1971,748,33,Sat Jul 16 01:05:20 +0000 2011,46005,,,True,False,413437,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_banners/336271751/1599775668,FA743E,FFFFFF,FFFFFF,000000,True,True,False,False,False,False,False,none
in_reply_to_user_id,336271751,336271751,nora,breaaaakdown,Georgia,,amplifying marginalized voices | Mariah Carey | bisexual | she/her | cisgender | hearing | able,https://t.co/ecrvBUK3Cr,,False,1971,748,33,Sat Jul 16 01:05:20 +0000 2011,46005,,,True,False,413437,,392551562,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_banners/336271751/1599775668,FA743E,FFFFFF,FFFFFF,000000,True,True,False,False,False,False,False,none
in_reply_to_user_id_str,336271751,336271751,nora,breaaaakdown,Georgia,,amplifying marginalized voices | Mariah Carey | bisexual | she/her | cisgender | hearing | able,https://t.co/ecrvBUK3Cr,,False,1971,748,33,Sat Jul 16 01:05:20 +0000 2011,46005,,,True,False,413437,,392551562,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_banners/336271751/1599775668,FA743E,FFFFFF,FFFFFF,000000,True,True,False,False,False,False,False,none
in_reply_to_screen_name,336271751,336271751,nora,breaaaakdown,Georgia,,amplifying marginalized voices | Mariah Carey | bisexual | she/her | cisgender | hearing | able,https://t.co/ecrvBUK3Cr,,False,1971,748,33,Sat Jul 16 01:05:20 +0000 2011,46005,,,True,False,413437,,Stardusth2o,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_banners/336271751/1599775668,FA743E,FFFFFF,FFFFFF,000000,True,True,False,False,False,False,False,none
geo,336271751,336271751,nora,breaaaakdown,Georgia,,amplifying marginalized voices | Mariah Carey | bisexual | she/her | cisgender | hearing | able,https://t.co/ecrvBUK3Cr,,False,1971,748,33,Sat Jul 16 01:05:20 +0000 2011,46005,,,True,False,413437,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_banners/336271751/1599775668,FA743E,FFFFFF,FFFFFF,000000,True,True,False,False,False,False,False,none
coordinates,336271751,336271751,nora,breaaaakdown,Georgia,,amplifying marginalized voices | Mariah Carey | bisexual | she/her | cisgender | hearing | able,https://t.co/ecrvBUK3Cr,,False,1971,748,33,Sat Jul 16 01:05:20 +0000 2011,46005,,,True,False,413437,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_banners/336271751/1599775668,FA743E,FFFFFF,FFFFFF,000000,True,True,False,False,False,False,False,none
place,336271751,336271751,nora,breaaaakdown,Georgia,,amplifying marginalized voices | Mariah Carey | bisexual | she/her | cisgender | hearing | able,https://t.co/ecrvBUK3Cr,,False,1971,748,33,Sat Jul 16 01:05:20 +0000 2011,46005,,,True,False,413437,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_banners/336271751/1599775668,FA743E,FFFFFF,FFFFFF,000000,True,True,False,False,False,False,False,none
contributors,336271751,336271751,nora,breaaaakdown,Georgia,,amplifying marginalized voices | Mariah Carey | bisexual | she/her | cisgender | hearing | able,https://t.co/ecrvBUK3Cr,,False,1971,748,33,Sat Jul 16 01:05:20 +0000 2011,46005,,,True,False,413437,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_banners/336271751/1599775668,FA743E,FFFFFF,FFFFFF,000000,True,True,False,False,False,False,False,none
is_quote_status,336271751,336271751,nora,breaaaakdown,Georgia,,amplifying marginalized voices | Mariah Carey | bisexual | she/her | cisgender | hearing | able,https://t.co/ecrvBUK3Cr,,False,1971,748,33,Sat Jul 16 01:05:20 +0000 2011,46005,,,True,False,413437,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_banners/336271751/1599775668,FA743E,FFFFFF,FFFFFF,000000,True,True,False,False,False,False,False,none
retweet_count,336271751,336271751,nora,breaaaakdown,Georgia,,amplifying marginalized voices | Mariah Carey | bisexual | she/her | cisgender | hearing | able,https://t.co/ecrvBUK3Cr,,False,1971,748,33,Sat Jul 16 01:05:20 +0000 2011,46005,,,True,False,413437,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_banners/336271751/1599775668,FA743E,FFFFFF,FFFFFF,000000,True,True,False,False,False,False,False,none
favorite_count,336271751,336271751,nora,breaaaakdown,Georgia,,amplifying marginalized voices | Mariah Carey | bisexual | she/her | cisgender | hearing | able,https://t.co/ecrvBUK3Cr,,False,1971,748,33,Sat Jul 16 01:05:20 +0000 2011,46005,,,True,False,413437,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_banners/336271751/1599775668,FA743E,FFFFFF,FFFFFF,000000,True,True,False,False,False,False,False,none
favorited,336271751,336271751,nora,breaaaakdown,Georgia,,amplifying marginalized voices | Mariah Carey | bisexual | she/her | cisgender | hearing | able,https://t.co/ecrvBUK3Cr,,False,1971,748,33,Sat Jul 16 01:05:20 +0000 2011,46005,,,True,False,413437,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_banners/336271751/1599775668,FA743E,FFFFFF,FFFFFF,000000,True,True,False,False,False,False,False,none
retweeted,336271751,336271751,nora,breaaaakdown,Georgia,,amplifying marginalized voices | Mariah Carey | bisexual | she/her | cisgender | hearing | able,https://t.co/ecrvBUK3Cr,,False,1971,748,33,Sat Jul 16 01:05:20 +0000 2011,46005,,,True,False,413437,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_banners/336271751/1599775668,FA743E,FFFFFF,FFFFFF,000000,True,True,False,False,False,False,False,none
lang,336271751,336271751,nora,breaaaakdown,Georgia,,amplifying marginalized voices | Mariah Carey | bisexual | she/her | cisgender | hearing | able,https://t.co/ecrvBUK3Cr,,False,1971,748,33,Sat Jul 16 01:05:20 +0000 2011,46005,,,True,False,413437,,en,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_images/1328861338165239809/myc2I5xW_normal.jpg,https://pbs.twimg.com/profile_banners/336271751/1599775668,FA743E,FFFFFF,FFFFFF,000000,True,True,False,False,False,False,False,none
