,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,{'urls': []},False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id_str,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,489373671,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_screen_name,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,Josephine_KK,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
geo,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
coordinates,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
place,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
contributors,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
is_quote_status,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
retweet_count,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
favorite_count,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,1,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
favorited,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
retweeted,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
lang,4851827578,4851827578,TheJollyJinty,TheRedJinty,,,He/Him | 18 | Autistic | ADHD | 🇺🇸 | Bi |,,,False,1444,743,7,Wed Jan 27 01:03:34 +0000 2016,81234,,,False,False,33366,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_images/1333859323580207106/pXSUdBdf_normal.jpg,https://pbs.twimg.com/profile_banners/4851827578/1604253860,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
