,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1326224098238689280,1326224098238689280,hailee🥀,_goofjuice,• she|her • 17 • 🏳️‍🌈|🇺🇸 •,,"| mayor of clownatopia | my girlies: m, r, b, j, k, l, t, c, s, m, a | married to @lucifer_1805 | BLM | pinky club supremacy |",,{'urls': []},False,412,574,6,Tue Nov 10 18:04:22 +0000 2020,14839,,,False,False,9352,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_banners/1326224098238689280/1608086152,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1326224098238689280,1326224098238689280,hailee🥀,_goofjuice,• she|her • 17 • 🏳️‍🌈|🇺🇸 •,,"| mayor of clownatopia | my girlies: m, r, b, j, k, l, t, c, s, m, a | married to @lucifer_1805 | BLM | pinky club supremacy |",,,False,412,574,6,Tue Nov 10 18:04:22 +0000 2020,14839,,,False,False,9352,,89806993,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_banners/1326224098238689280/1608086152,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1326224098238689280,1326224098238689280,hailee🥀,_goofjuice,• she|her • 17 • 🏳️‍🌈|🇺🇸 •,,"| mayor of clownatopia | my girlies: m, r, b, j, k, l, t, c, s, m, a | married to @lucifer_1805 | BLM | pinky club supremacy |",,,False,412,574,6,Tue Nov 10 18:04:22 +0000 2020,14839,,,False,False,9352,,gabi_bursi,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_banners/1326224098238689280/1608086152,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1326224098238689280,1326224098238689280,hailee🥀,_goofjuice,• she|her • 17 • 🏳️‍🌈|🇺🇸 •,,"| mayor of clownatopia | my girlies: m, r, b, j, k, l, t, c, s, m, a | married to @lucifer_1805 | BLM | pinky club supremacy |",,,False,412,574,6,Tue Nov 10 18:04:22 +0000 2020,14839,,,False,False,9352,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_banners/1326224098238689280/1608086152,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1326224098238689280,1326224098238689280,hailee🥀,_goofjuice,• she|her • 17 • 🏳️‍🌈|🇺🇸 •,,"| mayor of clownatopia | my girlies: m, r, b, j, k, l, t, c, s, m, a | married to @lucifer_1805 | BLM | pinky club supremacy |",,,False,412,574,6,Tue Nov 10 18:04:22 +0000 2020,14839,,,False,False,9352,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_banners/1326224098238689280/1608086152,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1326224098238689280,1326224098238689280,hailee🥀,_goofjuice,• she|her • 17 • 🏳️‍🌈|🇺🇸 •,,"| mayor of clownatopia | my girlies: m, r, b, j, k, l, t, c, s, m, a | married to @lucifer_1805 | BLM | pinky club supremacy |",,,False,412,574,6,Tue Nov 10 18:04:22 +0000 2020,14839,,,False,False,9352,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_banners/1326224098238689280/1608086152,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1326224098238689280,1326224098238689280,hailee🥀,_goofjuice,• she|her • 17 • 🏳️‍🌈|🇺🇸 •,,"| mayor of clownatopia | my girlies: m, r, b, j, k, l, t, c, s, m, a | married to @lucifer_1805 | BLM | pinky club supremacy |",,,False,412,574,6,Tue Nov 10 18:04:22 +0000 2020,14839,,,False,False,9352,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_banners/1326224098238689280/1608086152,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1326224098238689280,1326224098238689280,hailee🥀,_goofjuice,• she|her • 17 • 🏳️‍🌈|🇺🇸 •,,"| mayor of clownatopia | my girlies: m, r, b, j, k, l, t, c, s, m, a | married to @lucifer_1805 | BLM | pinky club supremacy |",,,False,412,574,6,Tue Nov 10 18:04:22 +0000 2020,14839,,,False,False,9352,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_banners/1326224098238689280/1608086152,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1326224098238689280,1326224098238689280,hailee🥀,_goofjuice,• she|her • 17 • 🏳️‍🌈|🇺🇸 •,,"| mayor of clownatopia | my girlies: m, r, b, j, k, l, t, c, s, m, a | married to @lucifer_1805 | BLM | pinky club supremacy |",,,False,412,574,6,Tue Nov 10 18:04:22 +0000 2020,14839,,,False,False,9352,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_banners/1326224098238689280/1608086152,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1326224098238689280,1326224098238689280,hailee🥀,_goofjuice,• she|her • 17 • 🏳️‍🌈|🇺🇸 •,,"| mayor of clownatopia | my girlies: m, r, b, j, k, l, t, c, s, m, a | married to @lucifer_1805 | BLM | pinky club supremacy |",,,False,412,574,6,Tue Nov 10 18:04:22 +0000 2020,14839,,,False,False,9352,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_banners/1326224098238689280/1608086152,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1326224098238689280,1326224098238689280,hailee🥀,_goofjuice,• she|her • 17 • 🏳️‍🌈|🇺🇸 •,,"| mayor of clownatopia | my girlies: m, r, b, j, k, l, t, c, s, m, a | married to @lucifer_1805 | BLM | pinky club supremacy |",,,False,412,574,6,Tue Nov 10 18:04:22 +0000 2020,14839,,,False,False,9352,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_banners/1326224098238689280/1608086152,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1326224098238689280,1326224098238689280,hailee🥀,_goofjuice,• she|her • 17 • 🏳️‍🌈|🇺🇸 •,,"| mayor of clownatopia | my girlies: m, r, b, j, k, l, t, c, s, m, a | married to @lucifer_1805 | BLM | pinky club supremacy |",,,False,412,574,6,Tue Nov 10 18:04:22 +0000 2020,14839,,,False,False,9352,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_banners/1326224098238689280/1608086152,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1326224098238689280,1326224098238689280,hailee🥀,_goofjuice,• she|her • 17 • 🏳️‍🌈|🇺🇸 •,,"| mayor of clownatopia | my girlies: m, r, b, j, k, l, t, c, s, m, a | married to @lucifer_1805 | BLM | pinky club supremacy |",,,False,412,574,6,Tue Nov 10 18:04:22 +0000 2020,14839,,,False,False,9352,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_images/1339036488130916355/GmgBAiNA_normal.jpg,https://pbs.twimg.com/profile_banners/1326224098238689280/1608086152,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
