,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,{'urls': []},False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,4886438363,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,4886438363,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,theamandafiles,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
possibly_sensitive,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,True,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1283016307903025154,1283016307903025154,hannah🎨🧃finals hiatus,scootscrossing,blm | semi ia bc college :/,,20 | she/her | kidcore island | @dannydinosauryt stannie & kk slider hatebot 🥰 | scoot’s bestie | pfp by @sugary_carousel | header by me | all are welcome🌈💗,,,False,710,580,5,Tue Jul 14 12:31:50 +0000 2020,3080,,,False,False,5140,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_images/1329516650639601665/Lqv4orfa_normal.jpg,https://pbs.twimg.com/profile_banners/1283016307903025154/1601852108,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
