,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,{'urls': []},False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,1298595934763454464,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,kIonopinmg,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,1,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1254554007995133964,1254554007995133964,Lili ☆ avoiding forced recovery,chaiteafairy,💫⭐️5’1 | 100lbs ⭐️💫,,"tw: edtwt, nsfw, vent acc | 19 | she/her | yes i hate myself | ugw: until i’m satisfied",,,False,422,155,6,Sun Apr 26 23:32:53 +0000 2020,7899,,,False,False,4287,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_images/1318302953980239872/ez5JSGGP_normal.jpg,https://pbs.twimg.com/profile_banners/1254554007995133964/1603142892,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
