,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,628288048,628288048,BlaceWill,BlaceBravo,Florida,,Film major | Spokesman of Air Fryers | Currently Hinata 👨🏾‍🦰,,{'urls': []},False,63,154,10,Fri Jul 06 11:13:02 +0000 2012,5531,,,True,False,2752,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_banners/628288048/1603254686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,628288048,628288048,BlaceWill,BlaceBravo,Florida,,Film major | Spokesman of Air Fryers | Currently Hinata 👨🏾‍🦰,,,False,63,154,10,Fri Jul 06 11:13:02 +0000 2012,5531,,,True,False,2752,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_banners/628288048/1603254686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,628288048,628288048,BlaceWill,BlaceBravo,Florida,,Film major | Spokesman of Air Fryers | Currently Hinata 👨🏾‍🦰,,,False,63,154,10,Fri Jul 06 11:13:02 +0000 2012,5531,,,True,False,2752,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_banners/628288048/1603254686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,628288048,628288048,BlaceWill,BlaceBravo,Florida,,Film major | Spokesman of Air Fryers | Currently Hinata 👨🏾‍🦰,,,False,63,154,10,Fri Jul 06 11:13:02 +0000 2012,5531,,,True,False,2752,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_banners/628288048/1603254686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,628288048,628288048,BlaceWill,BlaceBravo,Florida,,Film major | Spokesman of Air Fryers | Currently Hinata 👨🏾‍🦰,,,False,63,154,10,Fri Jul 06 11:13:02 +0000 2012,5531,,,True,False,2752,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_banners/628288048/1603254686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,628288048,628288048,BlaceWill,BlaceBravo,Florida,,Film major | Spokesman of Air Fryers | Currently Hinata 👨🏾‍🦰,,,False,63,154,10,Fri Jul 06 11:13:02 +0000 2012,5531,,,True,False,2752,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_banners/628288048/1603254686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,628288048,628288048,BlaceWill,BlaceBravo,Florida,,Film major | Spokesman of Air Fryers | Currently Hinata 👨🏾‍🦰,,,False,63,154,10,Fri Jul 06 11:13:02 +0000 2012,5531,,,True,False,2752,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_banners/628288048/1603254686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,628288048,628288048,BlaceWill,BlaceBravo,Florida,,Film major | Spokesman of Air Fryers | Currently Hinata 👨🏾‍🦰,,,False,63,154,10,Fri Jul 06 11:13:02 +0000 2012,5531,,,True,False,2752,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_banners/628288048/1603254686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted_status,628288048,628288048,BlaceWill,BlaceBravo,Florida,,Film major | Spokesman of Air Fryers | Currently Hinata 👨🏾‍🦰,,,False,63,154,10,Fri Jul 06 11:13:02 +0000 2012,5531,,,True,False,2752,,"{'created_at': 'Wed Dec 16 03:27:59 +0000 2020', 'id': 1339049608962584577, 'id_str': '1339049608962584577', 'text': 'He’s missing please retweet 😢 https://t.co/u8rqLt1Xtz', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1339049229155770369, 'id_str': '1339049229155770369', 'indices': [30, 53], 'media_url': 'http://pbs.twimg.com/media/EpVCLeiXIAEgIM-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpVCLeiXIAEgIM-.jpg', 'url': 'https://t.co/u8rqLt1Xtz', 'display_url': 'pic.twitter.com/u8rqLt1Xtz', 'expanded_url': 'https://twitter.com/Kimmie__xo/status/1339049608962584577/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1242, 'h': 2001, 'resize': 'fit'}, 'small': {'w': 422, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 745, 'h': 1200, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1339049229155770369, 'id_str': '1339049229155770369', 'indices': [30, 53], 'media_url': 'http://pbs.twimg.com/media/EpVCLeiXIAEgIM-.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EpVCLeiXIAEgIM-.jpg', 'url': 'https://t.co/u8rqLt1Xtz', 'display_url': 'pic.twitter.com/u8rqLt1Xtz', 'expanded_url': 'https://twitter.com/Kimmie__xo/status/1339049608962584577/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1242, 'h': 2001, 'resize': 'fit'}, 'small': {'w': 422, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 745, 'h': 1200, 'resize': 'fit'}}}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 5491, 'favorite_count': 1808, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_banners/628288048/1603254686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,628288048,628288048,BlaceWill,BlaceBravo,Florida,,Film major | Spokesman of Air Fryers | Currently Hinata 👨🏾‍🦰,,,False,63,154,10,Fri Jul 06 11:13:02 +0000 2012,5531,,,True,False,2752,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_banners/628288048/1603254686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,628288048,628288048,BlaceWill,BlaceBravo,Florida,,Film major | Spokesman of Air Fryers | Currently Hinata 👨🏾‍🦰,,,False,63,154,10,Fri Jul 06 11:13:02 +0000 2012,5531,,,True,False,2752,,5491,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_banners/628288048/1603254686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,628288048,628288048,BlaceWill,BlaceBravo,Florida,,Film major | Spokesman of Air Fryers | Currently Hinata 👨🏾‍🦰,,,False,63,154,10,Fri Jul 06 11:13:02 +0000 2012,5531,,,True,False,2752,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_banners/628288048/1603254686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,628288048,628288048,BlaceWill,BlaceBravo,Florida,,Film major | Spokesman of Air Fryers | Currently Hinata 👨🏾‍🦰,,,False,63,154,10,Fri Jul 06 11:13:02 +0000 2012,5531,,,True,False,2752,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_banners/628288048/1603254686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,628288048,628288048,BlaceWill,BlaceBravo,Florida,,Film major | Spokesman of Air Fryers | Currently Hinata 👨🏾‍🦰,,,False,63,154,10,Fri Jul 06 11:13:02 +0000 2012,5531,,,True,False,2752,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_banners/628288048/1603254686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
possibly_sensitive,628288048,628288048,BlaceWill,BlaceBravo,Florida,,Film major | Spokesman of Air Fryers | Currently Hinata 👨🏾‍🦰,,,False,63,154,10,Fri Jul 06 11:13:02 +0000 2012,5531,,,True,False,2752,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_banners/628288048/1603254686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,628288048,628288048,BlaceWill,BlaceBravo,Florida,,Film major | Spokesman of Air Fryers | Currently Hinata 👨🏾‍🦰,,,False,63,154,10,Fri Jul 06 11:13:02 +0000 2012,5531,,,True,False,2752,,en,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_images/1318943693001363457/7VQRtQ6J_normal.jpg,https://pbs.twimg.com/profile_banners/628288048/1603254686,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
