,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,{'urls': []},False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted_status,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,"{'created_at': 'Tue Dec 15 04:22:49 +0000 2020', 'id': 1338701020788969472, 'id_str': '1338701020788969472', 'text': 'TRACE MCSORLEY INJURED NOOOOO https://t.co/hW3LE17O1i', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1338700979705847811, 'id_str': '1338700979705847811', 'indices': [30, 53], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1338700979705847811/pu/img/3txYI_srOrbYmovj.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1338700979705847811/pu/img/3txYI_srOrbYmovj.jpg', 'url': 'https://t.co/hW3LE17O1i', 'display_url': 'pic.twitter.com/hW3LE17O1i', 'expanded_url': 'https://twitter.com/icymetcalf/status/1338701020788969472/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 669, 'resize': 'fit'}, 'medium': {'w': 732, 'h': 720, 'resize': 'fit'}, 'large': {'w': 732, 'h': 720, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1338700979705847811, 'id_str': '1338700979705847811', 'indices': [30, 53], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1338700979705847811/pu/img/3txYI_srOrbYmovj.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1338700979705847811/pu/img/3txYI_srOrbYmovj.jpg', 'url': 'https://t.co/hW3LE17O1i', 'display_url': 'pic.twitter.com/hW3LE17O1i', 'expanded_url': 'https://twitter.com/icymetcalf/status/1338701020788969472/video/1', 'type': 'video', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 669, 'resize': 'fit'}, 'medium': {'w': 732, 'h': 720, 'resize': 'fit'}, 'large': {'w': 732, 'h': 720, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [61, 60], 'duration_millis': 42167, 'variants': [{'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1338700979705847811/pu/vid/274x270/KufPYtzVGMYEELdE.mp4?tag=10'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1338700979705847811/pu/pl/jUAst2IuedED67dv.m3u8?tag=10'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1338700979705847811/pu/vid/366x360/1HUIhPBwviceYFlF.mp4?tag=10'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1338700979705847811/pu/vid/732x720/JuMafzHJLDBdqMt5.mp4?tag=10'}]}, 'additional_media_info': {'monetizable': False}}]}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 10, 'favorite_count': 80, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,10,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
possibly_sensitive,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1081016834751676416,1081016834751676416,⚡️𝑻𝒂𝒎𝒑𝒂🐊𝑩𝒐𝒓𝒏🏴‍☠️ (BOLT⚡️ Stan),PlayoffBolt,Amalie is home ⚡️,,☀️𝙏𝙮𝙥𝙞𝙘𝙖𝙡 𝙁𝙡𝙤𝙧𝙞𝙙𝙞𝙖𝙣🌴| CAC 23 | FUCK MARCO WILSON | #GoBolts | #GoBucs | #GoGators🐊| 🐶𝑺𝑻𝑨𝑵 𝑩𝑶𝑳𝑻⚡️|,,,False,1100,874,5,Fri Jan 04 02:37:52 +0000 2019,10542,,,False,False,15470,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_images/1333757591932035073/BoE_EANQ_normal.png,https://pbs.twimg.com/profile_banners/1081016834751676416/1601899776,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
