,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,"{'urls': [{'url': 'https://t.co/omfpNCwSX3', 'expanded_url': 'https://steamcommunity.com/id/twiddybolt', 'display_url': 'steamcommunity.com/id/twiddybolt', 'indices': [0, 23]}]}",False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,1260792935983067142,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,1260792935983067142,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,AnUnorginaljoke,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1173221068728877057,1173221068728877057,TwiddyBolt | BLM,TwiddyBolt,,,"🇬🇧 🇿🇼 | pikmin is good, play it.... PLAY IT NOW! NOW!!! | #blacklivesmatter and will forever |",https://t.co/omfpNCwSX3,,False,127,1185,6,Sun Sep 15 13:04:45 +0000 2019,22689,,,False,False,5339,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_images/1322487835904139270/-aKruvLV_normal.jpg,https://pbs.twimg.com/profile_banners/1173221068728877057/1607628397,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
