,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
in_reply_to_user_id_str,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,55022038,55022038,Milky 💕,Miss_Simonne,Fort Worth Forever,,lover of Jesus; mother of Zoecat; watcher of rasslin; teacher of pole dancing #ALLblacklivesmatter #PonyUp ❤️💙 1908 💗💚,,,False,1084,645,22,Wed Jul 08 20:42:16 +0000 2009,26891,,,True,False,126323,,en,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_images/1251012684289638402/BOduH9gD_normal.jpg,https://pbs.twimg.com/profile_banners/55022038/1461270889,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
