,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,{'urls': []},False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id_str,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_screen_name,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
geo,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
coordinates,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
place,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
contributors,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
retweeted_status,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,"{'created_at': 'Tue Dec 15 11:52:22 +0000 2020', 'id': 1338814150202408960, 'id_str': '1338814150202408960', 'text': 'still open for a slot or two! https://t.co/g4IpB02yJt', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/g4IpB02yJt', 'expanded_url': 'https://twitter.com/funayfunay/status/1313481053626134528', 'display_url': 'twitter.com/funayfunay/sta…', 'indices': [30, 53]}]}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': True, 'quoted_status_id': 1313481053626134528, 'quoted_status_id_str': '1313481053626134528', 'retweet_count': 3, 'favorite_count': 2, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
is_quote_status,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,True,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
quoted_status_id,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,1313481053626134528,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
quoted_status_id_str,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,1313481053626134528,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
retweet_count,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,3,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
favorite_count,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
favorited,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
retweeted,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
lang,731820168633044993,731820168633044993,godot blend #102,sheebsheeb_,"Perth, Western Australia",,"20↑ | she/her | audio student 🎧 | NOT sfw & NOT spoiler free | my tweets are severely depressing sometimes, don't follow if you're uncomfy",,,False,163,312,4,Sun May 15 12:14:59 +0000 2016,19121,,,False,False,33591,,en,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_images/1326195740276748288/m0tjQEgx_normal.jpg,https://pbs.twimg.com/profile_banners/731820168633044993/1607863790,7FDBB6,000000,000000,000000,False,True,False,False,False,False,False,none
