,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,"{'urls': [{'url': 'https://t.co/h2DvRXjN4v', 'expanded_url': 'http://Instagram.com/palmtreelivinn', 'display_url': 'Instagram.com/palmtreelivinn', 'indices': [0, 23]}]}",False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted_status,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,"{'created_at': 'Tue Dec 15 06:29:04 +0000 2020', 'id': 1338732790431539201, 'id_str': '1338732790431539201', 'text': '5 years plus = real homies/homegirls', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 1, 'favorite_count': 1, 'favorited': False, 'retweeted': False, 'lang': 'en'}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,1,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,772657236,772657236,🌴🎌🌴,palmtreelivinn,"Tampa, Flawwwwda",,Just talking my shit | snapchat/IG @palmtreelivinn | SLU,https://t.co/h2DvRXjN4v,,False,354,289,3,Wed Aug 22 01:47:52 +0000 2012,5861,,,True,False,29155,,en,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_images/1326223846802862080/UFAeI_Oj_normal.jpg,https://pbs.twimg.com/profile_banners/772657236/1492292720,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
