,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
in_reply_to_status_id_str,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,1339122907285311489,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,1328273354428596226,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,1328273354428596226,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,TheOGBananiel,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,1,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1308539747132940288,1308539747132940288,TBAisen Gentleman Thief (Vtuber),theblackautismo,Thigh Heaven,,Chill dude who says dumb stuff on stream |podcast creator| #Vstreamer |Twitch Affiliate|#MaleVtuber|#Stealies|#baisenarts|@kizugya Gen 1 Member,https://t.co/IURSOWeOLt,,False,362,280,21,Tue Sep 22 22:53:29 +0000 2020,8717,,,False,False,6670,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_images/1339035995656876032/1D6wMRKE_normal.jpg,https://pbs.twimg.com/profile_banners/1308539747132940288/1608086035,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
