,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,{'urls': []},False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted_status,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,"{'created_at': 'Tue Dec 15 02:46:09 +0000 2020', 'id': 1338676691544154112, 'id_str': '1338676691544154112', 'text': 'OK WE HAVE A SITUATION FOLKS – @Harry_Styles and @BTS_twt are battling for a spot in the next round. Who has your v… https://t.co/fqyJPTu1bN', 'truncated': True, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Harry_Styles', 'name': 'Harry Styles.', 'id': 181561712, 'id_str': '181561712', 'indices': [31, 44]}, {'screen_name': 'BTS_twt', 'name': '방탄소년단', 'id': 335141638, 'id_str': '335141638', 'indices': [49, 57]}], 'urls': [{'url': 'https://t.co/fqyJPTu1bN', 'expanded_url': 'https://twitter.com/i/web/status/1338676691544154112', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}, 'source': '<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers (legacy)</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 3431, 'favorite_count': 5158, 'favorited': False, 'retweeted': False, 'lang': 'en'}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,3431,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1312520636435136513,1312520636435136513,becca sees harry in 321 days!!!,DAYTONABABY28,eroda,,ot5 and solo stan | 17 she/her | number one clouds stan,,,False,384,444,3,Sat Oct 03 22:31:29 +0000 2020,11812,,,False,False,4195,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_images/1338179407622664198/u42AermD_normal.jpg,https://pbs.twimg.com/profile_banners/1312520636435136513/1607881808,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
