,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,"{'urls': [{'url': 'https://t.co/qQPt2gjmpv', 'expanded_url': 'http://twitch.tv/heggie', 'display_url': 'twitch.tv/heggie', 'indices': [95, 118]}]}",False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id_str,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_screen_name,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
geo,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
coordinates,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
place,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
contributors,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
is_quote_status,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
retweet_count,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,1,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
favorite_count,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,8,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
favorited,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
retweeted,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
possibly_sensitive,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
lang,596000419,596000419,Heggie 👊🏿,heggie23,,,Digital Marketer | Midwest Gamer | Husband | Dog Dad | #BlackLivesMatter | Navy Vet | He/Him | https://t.co/qQPt2gjmpv,,,False,144,570,1,Fri Jun 01 01:24:29 +0000 2012,10261,,,False,False,1118,,en,False,False,False,000000,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_images/1193907718278590465/T_OwaL8x_normal.jpg,https://pbs.twimg.com/profile_banners/596000419/1425432383,1B95E0,000000,000000,000000,False,True,False,False,False,False,False,none
