,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,"{'urls': [{'url': 'https://t.co/tGthkGCsSi', 'expanded_url': 'https://www.pinterest.com/wannabeitgurl/', 'display_url': 'pinterest.com/wannabeitgurl/', 'indices': [0, 23]}]}",False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1301181950632185856,1301181950632185856,𝓣 💕💒👛🌸,wannabeitgurl,"some day, the fashion industry",,in need of a prada bag | high fashion | she/her | 16,https://t.co/tGthkGCsSi,,False,1219,602,12,Wed Sep 02 15:35:33 +0000 2020,73727,,,False,False,36357,,und,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_images/1338387454772957185/Mned3X2s_normal.jpg,https://pbs.twimg.com/profile_banners/1301181950632185856/1607931411,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
