,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
in_reply_to_status_id_str,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
in_reply_to_user_id,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
in_reply_to_user_id_str,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
in_reply_to_screen_name,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
geo,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
coordinates,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
place,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
contributors,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
is_quote_status,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,True,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
quoted_status_id,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,1338997784712712194,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
quoted_status_id_str,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,1338997784712712194,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
retweet_count,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,1,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
favorite_count,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,0,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
favorited,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,False,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
retweeted,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,False,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
possibly_sensitive,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,False,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
lang,201112343,201112343,Scotty 2Phones,uptownwalker,"Highland Springs, VA",,| NSU🔰 VCU🐏| Search UptownWalker on Apple Music 🍎 | Spotify ✳️ | Tidal 🌊| The #DS2 EP is out now!,https://t.co/HSHynI7dlt,,False,1069,688,11,Mon Oct 11 03:07:50 +0000 2010,10501,,,True,False,33590,,en,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_images/1302673377568657409/DTzX0VqD_normal.jpg,https://pbs.twimg.com/profile_banners/201112343/1586259328,ED2F2F,000000,252429,666666,False,True,False,False,False,False,False,none
