,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
in_reply_to_user_id,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,17129334,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_user_id_str,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,17129334,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_screen_name,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,SabrinaSith,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
geo,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
coordinates,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
place,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
contributors,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
is_quote_status,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
retweet_count,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
favorite_count,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
favorited,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
retweeted,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
lang,1041154435,1041154435,Ashley🌱,oyinvegan,Californ-I-A,,Brown hippie vegan || IG: ajayi.ashley ||microbio major👩🏾‍🔬||BLM🤎,,,False,689,1628,4,Fri Dec 28 02:37:14 +0000 2012,78496,,,True,False,4966,,en,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_images/1277114605316128768/SUOP_KSr_normal.jpg,https://pbs.twimg.com/profile_banners/1041154435/1602479146,0084B4,FFFFFF,DDEEF6,333333,True,True,False,False,False,False,False,none
