,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,{'urls': []},False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,1062874057417330688,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,VL0GGUN,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1298374668571701248,1298374668571701248,ava🪴 || 𓆉,avasguava,ur moms house,,where is foot. | she/her :) | BLM | ♑️ | proudly married to @isa_marianne_,,,False,141,242,8,Tue Aug 25 21:40:31 +0000 2020,10267,,,False,False,4578,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_images/1336759432496050177/W1FpTaI9_normal.jpg,https://pbs.twimg.com/profile_banners/1298374668571701248/1607543186,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
