,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,{'urls': []},False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
geo,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
coordinates,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
place,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
contributors,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
retweeted_status,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,"{'created_at': 'Tue Dec 15 02:33:02 +0000 2020', 'id': 1338673391759462401, 'id_str': '1338673391759462401', 'text': 'Exactly! Or that people weren’t Neurodiverse prior to vaccines (they were) https://t.co/7Rp5Rl8Wqu', 'truncated': False, 'entities': {'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/7Rp5Rl8Wqu', 'expanded_url': 'https://twitter.com/sweetascerasee/status/1338673234942767104', 'display_url': 'twitter.com/sweetascerasee…', 'indices': [75, 98]}]}, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': True, 'quoted_status_id': 1338673234942767104, 'quoted_status_id_str': '1338673234942767104', 'retweet_count': 4, 'favorite_count': 21, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
is_quote_status,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,True,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
quoted_status_id,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,1338673234942767104,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
quoted_status_id_str,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,1338673234942767104,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
retweet_count,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,4,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
favorite_count,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,0,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
favorited,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,False,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
retweeted,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,False,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
lang,213408117,213408117,Your Favorite Fat Girl,ViciousVibrato,(D)MV,,25 | She/Her| Artist | Singer | Actor | Your fave fat girl | ♉️ | Howard Alumna | fluent in meme | my tweets range from educational to absolute filth 🤷🏽‍♀️,,,False,1290,417,19,Mon Nov 08 21:11:54 +0000 2010,21244,,,True,False,211755,,en,False,False,False,FF6699,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_images/1320134449711939589/yb7BM_Th_normal.jpg,https://pbs.twimg.com/profile_banners/213408117/1574793118,B40B43,FFFFFF,E5507E,362720,True,True,False,False,False,False,False,none
