,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
in_reply_to_status_id,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id_str,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id_str,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_screen_name,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
geo,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
coordinates,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
place,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
contributors,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
retweeted_status,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,"{'created_at': 'Wed Dec 09 19:06:10 +0000 2020', 'id': 1336748995012648964, 'id_str': '1336748995012648964', 'text': 'witch yoongi before and after the curse 🐱\n#yoonkook #슙국 https://t.co/lyXkLS297a', 'truncated': False, 'entities': {'hashtags': [{'text': 'yoonkook', 'indices': [42, 51]}, {'text': '슙국', 'indices': [52, 55]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1336748988171755520, 'id_str': '1336748988171755520', 'indices': [56, 79], 'media_url': 'http://pbs.twimg.com/media/Eo0WH1HXIAAfDMZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo0WH1HXIAAfDMZ.jpg', 'url': 'https://t.co/lyXkLS297a', 'display_url': 'pic.twitter.com/lyXkLS297a', 'expanded_url': 'https://twitter.com/94_PIAN/status/1336748995012648964/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}}}]}, 'extended_entities': {'media': [{'id': 1336748988171755520, 'id_str': '1336748988171755520', 'indices': [56, 79], 'media_url': 'http://pbs.twimg.com/media/Eo0WH1HXIAAfDMZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo0WH1HXIAAfDMZ.jpg', 'url': 'https://t.co/lyXkLS297a', 'display_url': 'pic.twitter.com/lyXkLS297a', 'expanded_url': 'https://twitter.com/94_PIAN/status/1336748995012648964/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}}}, {'id': 1336748992089165824, 'id_str': '1336748992089165824', 'indices': [56, 79], 'media_url': 'http://pbs.twimg.com/media/Eo0WIDtWEAAiK7h.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo0WIDtWEAAiK7h.jpg', 'url': 'https://t.co/lyXkLS297a', 'display_url': 'pic.twitter.com/lyXkLS297a', 'expanded_url': 'https://twitter.com/94_PIAN/status/1336748995012648964/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}}}]}, 'source': '<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 528, 'favorite_count': 2858, 'favorited': False, 'retweeted': False, 'possibly_sensitive': False, 'lang': 'en'}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
is_quote_status,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
retweet_count,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,528,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
favorite_count,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
favorited,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
retweeted,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
possibly_sensitive,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
lang,1034634460069691392,1034634460069691392,qi ⁷ 💫 ! inactive for school :(,llonelywhalien,hyyh 슙국 | he/they,,#ZENJI: when !! will koo!! hold !!!! yoomfis!!! hand!!!!!! || ACAB!!!!! BLM!!!!,,,False,121,168,3,Wed Aug 29 02:50:52 +0000 2018,10962,,,True,False,5423,,en,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_images/1275418478569111552/ryQz78Kv_normal.jpg,https://pbs.twimg.com/profile_banners/1034634460069691392/1592918549,F58EA8,000000,000000,000000,False,True,False,False,False,False,False,none
