,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,"{'urls': [{'url': 'https://t.co/VRY0E9hreV', 'expanded_url': 'https://www.youtube.com/channel/UC6B6KwSk4yuDDxXw3AVKOHw', 'display_url': 'youtube.com/channel/UC6B6K…', 'indices': [0, 23]}]}",False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_user_id,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,1159177097836933120,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_user_id_str,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,1159177097836933120,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_screen_name,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,MikeVicksDog,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
geo,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
coordinates,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
place,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
contributors,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
is_quote_status,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
retweet_count,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
favorite_count,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,1,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
favorited,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
retweeted,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
lang,1120838895439089664,1120838895439089664,JackiChan,JackiChanOSRS,"Kentucky, USA",,| 🔥 Twitch Affiliate 🔥 | Twitch Streamer For @Feekifam | Wanna Be Pro Smite Player 🕹 | https://t.co/VOw1ogsIWV |,https://t.co/VRY0E9hreV,,False,569,468,2,Tue Apr 23 23:56:31 +0000 2019,4016,,,True,False,2061,,en,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_images/1295494534563074061/pgRqES-R_normal.jpg,https://pbs.twimg.com/profile_banners/1120838895439089664/1596984459,19CF86,000000,000000,000000,False,False,False,False,False,False,False,none
