,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,"{'urls': [{'url': 'https://t.co/sPQFnPch7p', 'expanded_url': 'http://Instagram.com/thedrewsephh/', 'display_url': 'Instagram.com/thedrewsephh/', 'indices': [0, 23]}]}",False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_user_id,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,,False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_user_id_str,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,,False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
in_reply_to_screen_name,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,,False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
geo,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,,False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
coordinates,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,,False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
place,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,,False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
contributors,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,,False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
is_quote_status,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,,False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,True,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
quoted_status_id,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,,False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,1335719391061815298,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
quoted_status_id_str,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,,False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,1335719391061815298,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
retweet_count,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,,False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
favorite_count,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,,False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,1,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
favorited,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,,False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
retweeted,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,,False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
possibly_sensitive,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,,False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
lang,245824240,245824240,T H Ξ D Я Ξ W ©️™,thedrewseph,"Hellmouth, USA",,| Twitch Streamer | https://t.co/xIEEpdOCWT | 👾 #RAZERStreamer 🐍 | Living The Dream | 🍍 | Movie + Music Inspired + CAT LOVER 💙,https://t.co/sPQFnPch7p,,False,909,733,13,Tue Feb 01 15:09:42 +0000 2011,44494,,,False,False,45948,,en,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_images/1277606312008916992/tr22F9Bw_normal.jpg,https://pbs.twimg.com/profile_banners/245824240/1596485863,0084B4,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none
