,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,{'urls': []},False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_user_id_str,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,979527430024163328,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_screen_name,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,mediumplace_lou,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
geo,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
coordinates,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
place,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
contributors,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
is_quote_status,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
retweet_count,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
favorite_count,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
favorited,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
retweeted,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
lang,979527430024163328,979527430024163328,lou,mediumplace_lou,four Oreos from heaven,,musicals || gryffindor || bi || 20 || she/her,,,False,14,156,0,Fri Mar 30 01:15:12 +0000 2018,949,,,False,False,974,,en,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_images/1316143313104310272/KPT_09tm_normal.jpg,https://pbs.twimg.com/profile_banners/979527430024163328/1590947954,B0B8FF,000000,000000,000000,False,False,False,False,False,False,False,none
