,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,"{'urls': [{'url': 'https://t.co/iT6wQ1QVAP', 'expanded_url': 'https://www.twitch.tv/KillingHer', 'display_url': 'twitch.tv/KillingHer', 'indices': [0, 23]}]}",False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
possibly_sensitive,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1193595420838187015,1193595420838187015,KillingHer,KillingHer27,Germany,,"💀🦄 90’s kid, All things horror, OG Resident Evil Fan, 1 dog 5 cats | Twitch Affiliate | Instagram @KillingHer27 | Artwork by @p_eachu 💕",https://t.co/iT6wQ1QVAP,,False,246,777,1,Sun Nov 10 18:25:22 +0000 2019,13983,,,False,False,6867,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_images/1328494955824869376/v2_rIi9t_normal.jpg,https://pbs.twimg.com/profile_banners/1193595420838187015/1605572888,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
