,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,{'urls': []},False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,1,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1330694638747971587,1330694638747971587,|| sav ||,mcytopinions,she/her | 21+,,|| became obsessed minecraft ccs & here we are || || pfp: @costcopunk || header: @dr3amt3am3 ||,,,False,34,247,5,Mon Nov 23 02:08:39 +0000 2020,18337,,,False,False,1029,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_images/1337897768371834883/o1EVjgB9_normal.jpg,https://pbs.twimg.com/profile_banners/1330694638747971587/1606151435,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
