,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
in_reply_to_status_id_str,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1278887060464717824,1278887060464717824,velvet,oilyhairiscute,they/them || 13 || white,,licky lick,https://t.co/IFKqAD5XEQ,,False,172,230,4,Fri Jul 03 03:03:46 +0000 2020,42281,,,True,False,10655,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_images/1336131944023814149/wAjgtCp3_normal.jpg,https://pbs.twimg.com/profile_banners/1278887060464717824/1607995534,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
