,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,"{'urls': [{'url': 'https://t.co/2xfwjduUUl', 'expanded_url': 'http://twitch.tv/nexusplays', 'display_url': 'twitch.tv/nexusplays', 'indices': [0, 23]}]}",False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,958881025496461313,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id_str,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,958881025496461313,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_screen_name,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,PeytonVisuals,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
geo,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
coordinates,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
place,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
contributors,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
is_quote_status,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
retweet_count,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,0,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
favorite_count,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,2,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
favorited,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
retweeted,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
lang,4584907755,4584907755,Darian | ネクサス,nexusplays_,"Atlanta, GA",,23 | I play video games and rage a lot | Contact: business.nexusplays@gmail.com | BLM ✊🏾,https://t.co/2xfwjduUUl,,False,338,636,6,Thu Dec 24 03:07:39 +0000 2015,32170,,,True,False,16742,,en,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_images/1336714035790831620/dZAgOuPR_normal.jpg,https://pbs.twimg.com/profile_banners/4584907755/1574387831,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none
