,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1218123378298707968,1218123378298707968,anne,ann_langs,,,24 | She/Her | 🏳️‍🌈 | Portuguese Language and Literature Major | Language learning account | Native 🇧🇷 Speaks 🇬🇧🇪🇸🛰️ Learning 🇮🇹🇫🇮 Dabbling🇰🇷🇩🇪,,{'urls': []},False,800,608,8,Fri Jan 17 10:50:33 +0000 2020,2752,,,False,False,1552,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_banners/1218123378298707968/1599303556,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id_str,1218123378298707968,1218123378298707968,anne,ann_langs,,,24 | She/Her | 🏳️‍🌈 | Portuguese Language and Literature Major | Language learning account | Native 🇧🇷 Speaks 🇬🇧🇪🇸🛰️ Learning 🇮🇹🇫🇮 Dabbling🇰🇷🇩🇪,,,False,800,608,8,Fri Jan 17 10:50:33 +0000 2020,2752,,,False,False,1552,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_banners/1218123378298707968/1599303556,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_screen_name,1218123378298707968,1218123378298707968,anne,ann_langs,,,24 | She/Her | 🏳️‍🌈 | Portuguese Language and Literature Major | Language learning account | Native 🇧🇷 Speaks 🇬🇧🇪🇸🛰️ Learning 🇮🇹🇫🇮 Dabbling🇰🇷🇩🇪,,,False,800,608,8,Fri Jan 17 10:50:33 +0000 2020,2752,,,False,False,1552,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_banners/1218123378298707968/1599303556,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
geo,1218123378298707968,1218123378298707968,anne,ann_langs,,,24 | She/Her | 🏳️‍🌈 | Portuguese Language and Literature Major | Language learning account | Native 🇧🇷 Speaks 🇬🇧🇪🇸🛰️ Learning 🇮🇹🇫🇮 Dabbling🇰🇷🇩🇪,,,False,800,608,8,Fri Jan 17 10:50:33 +0000 2020,2752,,,False,False,1552,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_banners/1218123378298707968/1599303556,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
coordinates,1218123378298707968,1218123378298707968,anne,ann_langs,,,24 | She/Her | 🏳️‍🌈 | Portuguese Language and Literature Major | Language learning account | Native 🇧🇷 Speaks 🇬🇧🇪🇸🛰️ Learning 🇮🇹🇫🇮 Dabbling🇰🇷🇩🇪,,,False,800,608,8,Fri Jan 17 10:50:33 +0000 2020,2752,,,False,False,1552,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_banners/1218123378298707968/1599303556,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
place,1218123378298707968,1218123378298707968,anne,ann_langs,,,24 | She/Her | 🏳️‍🌈 | Portuguese Language and Literature Major | Language learning account | Native 🇧🇷 Speaks 🇬🇧🇪🇸🛰️ Learning 🇮🇹🇫🇮 Dabbling🇰🇷🇩🇪,,,False,800,608,8,Fri Jan 17 10:50:33 +0000 2020,2752,,,False,False,1552,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_banners/1218123378298707968/1599303556,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
contributors,1218123378298707968,1218123378298707968,anne,ann_langs,,,24 | She/Her | 🏳️‍🌈 | Portuguese Language and Literature Major | Language learning account | Native 🇧🇷 Speaks 🇬🇧🇪🇸🛰️ Learning 🇮🇹🇫🇮 Dabbling🇰🇷🇩🇪,,,False,800,608,8,Fri Jan 17 10:50:33 +0000 2020,2752,,,False,False,1552,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_banners/1218123378298707968/1599303556,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
is_quote_status,1218123378298707968,1218123378298707968,anne,ann_langs,,,24 | She/Her | 🏳️‍🌈 | Portuguese Language and Literature Major | Language learning account | Native 🇧🇷 Speaks 🇬🇧🇪🇸🛰️ Learning 🇮🇹🇫🇮 Dabbling🇰🇷🇩🇪,,,False,800,608,8,Fri Jan 17 10:50:33 +0000 2020,2752,,,False,False,1552,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_banners/1218123378298707968/1599303556,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
retweet_count,1218123378298707968,1218123378298707968,anne,ann_langs,,,24 | She/Her | 🏳️‍🌈 | Portuguese Language and Literature Major | Language learning account | Native 🇧🇷 Speaks 🇬🇧🇪🇸🛰️ Learning 🇮🇹🇫🇮 Dabbling🇰🇷🇩🇪,,,False,800,608,8,Fri Jan 17 10:50:33 +0000 2020,2752,,,False,False,1552,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_banners/1218123378298707968/1599303556,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
favorite_count,1218123378298707968,1218123378298707968,anne,ann_langs,,,24 | She/Her | 🏳️‍🌈 | Portuguese Language and Literature Major | Language learning account | Native 🇧🇷 Speaks 🇬🇧🇪🇸🛰️ Learning 🇮🇹🇫🇮 Dabbling🇰🇷🇩🇪,,,False,800,608,8,Fri Jan 17 10:50:33 +0000 2020,2752,,,False,False,1552,,25,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_banners/1218123378298707968/1599303556,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
favorited,1218123378298707968,1218123378298707968,anne,ann_langs,,,24 | She/Her | 🏳️‍🌈 | Portuguese Language and Literature Major | Language learning account | Native 🇧🇷 Speaks 🇬🇧🇪🇸🛰️ Learning 🇮🇹🇫🇮 Dabbling🇰🇷🇩🇪,,,False,800,608,8,Fri Jan 17 10:50:33 +0000 2020,2752,,,False,False,1552,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_banners/1218123378298707968/1599303556,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
retweeted,1218123378298707968,1218123378298707968,anne,ann_langs,,,24 | She/Her | 🏳️‍🌈 | Portuguese Language and Literature Major | Language learning account | Native 🇧🇷 Speaks 🇬🇧🇪🇸🛰️ Learning 🇮🇹🇫🇮 Dabbling🇰🇷🇩🇪,,,False,800,608,8,Fri Jan 17 10:50:33 +0000 2020,2752,,,False,False,1552,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_banners/1218123378298707968/1599303556,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
lang,1218123378298707968,1218123378298707968,anne,ann_langs,,,24 | She/Her | 🏳️‍🌈 | Portuguese Language and Literature Major | Language learning account | Native 🇧🇷 Speaks 🇬🇧🇪🇸🛰️ Learning 🇮🇹🇫🇮 Dabbling🇰🇷🇩🇪,,,False,800,608,8,Fri Jan 17 10:50:33 +0000 2020,2752,,,False,False,1552,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_images/1313610782421196800/NBJdse49_normal.jpg,https://pbs.twimg.com/profile_banners/1218123378298707968/1599303556,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
