,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1281591210,1281591210,R || BLM,yelowsravi,23y/o | #BLM | they/them,,“𝙔𝙤𝙪 𝙇𝙞𝙠𝙚 𝙁𝙚𝙡𝙤𝙣𝙨 “ - Anastasia,https://t.co/5YyeFApaWr,"{'urls': [{'url': 'https://t.co/5YyeFApaWr', 'expanded_url': 'https://m.youtube.com/channel/UCZ9m_8YY4lULNu23FEF1guQ', 'display_url': 'm.youtube.com/channel/UCZ9m_…', 'indices': [0, 23]}]}",False,4013,312,32,Tue Mar 19 21:49:11 +0000 2013,40672,,,False,False,53825,,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_banners/1281591210/1607909472,ABB8C2,000000,000000,000000,True,True,False,False,False,False,False,none
in_reply_to_user_id_str,1281591210,1281591210,R || BLM,yelowsravi,23y/o | #BLM | they/them,,“𝙔𝙤𝙪 𝙇𝙞𝙠𝙚 𝙁𝙚𝙡𝙤𝙣𝙨 “ - Anastasia,https://t.co/5YyeFApaWr,,False,4013,312,32,Tue Mar 19 21:49:11 +0000 2013,40672,,,False,False,53825,,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_banners/1281591210/1607909472,ABB8C2,000000,000000,000000,True,True,False,False,False,False,False,none
in_reply_to_screen_name,1281591210,1281591210,R || BLM,yelowsravi,23y/o | #BLM | they/them,,“𝙔𝙤𝙪 𝙇𝙞𝙠𝙚 𝙁𝙚𝙡𝙤𝙣𝙨 “ - Anastasia,https://t.co/5YyeFApaWr,,False,4013,312,32,Tue Mar 19 21:49:11 +0000 2013,40672,,,False,False,53825,,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_banners/1281591210/1607909472,ABB8C2,000000,000000,000000,True,True,False,False,False,False,False,none
geo,1281591210,1281591210,R || BLM,yelowsravi,23y/o | #BLM | they/them,,“𝙔𝙤𝙪 𝙇𝙞𝙠𝙚 𝙁𝙚𝙡𝙤𝙣𝙨 “ - Anastasia,https://t.co/5YyeFApaWr,,False,4013,312,32,Tue Mar 19 21:49:11 +0000 2013,40672,,,False,False,53825,,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_banners/1281591210/1607909472,ABB8C2,000000,000000,000000,True,True,False,False,False,False,False,none
coordinates,1281591210,1281591210,R || BLM,yelowsravi,23y/o | #BLM | they/them,,“𝙔𝙤𝙪 𝙇𝙞𝙠𝙚 𝙁𝙚𝙡𝙤𝙣𝙨 “ - Anastasia,https://t.co/5YyeFApaWr,,False,4013,312,32,Tue Mar 19 21:49:11 +0000 2013,40672,,,False,False,53825,,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_banners/1281591210/1607909472,ABB8C2,000000,000000,000000,True,True,False,False,False,False,False,none
place,1281591210,1281591210,R || BLM,yelowsravi,23y/o | #BLM | they/them,,“𝙔𝙤𝙪 𝙇𝙞𝙠𝙚 𝙁𝙚𝙡𝙤𝙣𝙨 “ - Anastasia,https://t.co/5YyeFApaWr,,False,4013,312,32,Tue Mar 19 21:49:11 +0000 2013,40672,,,False,False,53825,,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_banners/1281591210/1607909472,ABB8C2,000000,000000,000000,True,True,False,False,False,False,False,none
contributors,1281591210,1281591210,R || BLM,yelowsravi,23y/o | #BLM | they/them,,“𝙔𝙤𝙪 𝙇𝙞𝙠𝙚 𝙁𝙚𝙡𝙤𝙣𝙨 “ - Anastasia,https://t.co/5YyeFApaWr,,False,4013,312,32,Tue Mar 19 21:49:11 +0000 2013,40672,,,False,False,53825,,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_banners/1281591210/1607909472,ABB8C2,000000,000000,000000,True,True,False,False,False,False,False,none
is_quote_status,1281591210,1281591210,R || BLM,yelowsravi,23y/o | #BLM | they/them,,“𝙔𝙤𝙪 𝙇𝙞𝙠𝙚 𝙁𝙚𝙡𝙤𝙣𝙨 “ - Anastasia,https://t.co/5YyeFApaWr,,False,4013,312,32,Tue Mar 19 21:49:11 +0000 2013,40672,,,False,False,53825,,False,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_banners/1281591210/1607909472,ABB8C2,000000,000000,000000,True,True,False,False,False,False,False,none
retweet_count,1281591210,1281591210,R || BLM,yelowsravi,23y/o | #BLM | they/them,,“𝙔𝙤𝙪 𝙇𝙞𝙠𝙚 𝙁𝙚𝙡𝙤𝙣𝙨 “ - Anastasia,https://t.co/5YyeFApaWr,,False,4013,312,32,Tue Mar 19 21:49:11 +0000 2013,40672,,,False,False,53825,,0,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_banners/1281591210/1607909472,ABB8C2,000000,000000,000000,True,True,False,False,False,False,False,none
favorite_count,1281591210,1281591210,R || BLM,yelowsravi,23y/o | #BLM | they/them,,“𝙔𝙤𝙪 𝙇𝙞𝙠𝙚 𝙁𝙚𝙡𝙤𝙣𝙨 “ - Anastasia,https://t.co/5YyeFApaWr,,False,4013,312,32,Tue Mar 19 21:49:11 +0000 2013,40672,,,False,False,53825,,1,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_banners/1281591210/1607909472,ABB8C2,000000,000000,000000,True,True,False,False,False,False,False,none
favorited,1281591210,1281591210,R || BLM,yelowsravi,23y/o | #BLM | they/them,,“𝙔𝙤𝙪 𝙇𝙞𝙠𝙚 𝙁𝙚𝙡𝙤𝙣𝙨 “ - Anastasia,https://t.co/5YyeFApaWr,,False,4013,312,32,Tue Mar 19 21:49:11 +0000 2013,40672,,,False,False,53825,,False,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_banners/1281591210/1607909472,ABB8C2,000000,000000,000000,True,True,False,False,False,False,False,none
retweeted,1281591210,1281591210,R || BLM,yelowsravi,23y/o | #BLM | they/them,,“𝙔𝙤𝙪 𝙇𝙞𝙠𝙚 𝙁𝙚𝙡𝙤𝙣𝙨 “ - Anastasia,https://t.co/5YyeFApaWr,,False,4013,312,32,Tue Mar 19 21:49:11 +0000 2013,40672,,,False,False,53825,,False,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_banners/1281591210/1607909472,ABB8C2,000000,000000,000000,True,True,False,False,False,False,False,none
lang,1281591210,1281591210,R || BLM,yelowsravi,23y/o | #BLM | they/them,,“𝙔𝙤𝙪 𝙇𝙞𝙠𝙚 𝙁𝙚𝙡𝙤𝙣𝙨 “ - Anastasia,https://t.co/5YyeFApaWr,,False,4013,312,32,Tue Mar 19 21:49:11 +0000 2013,40672,,,False,False,53825,,en,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_images/1338295437875441664/9FxyT-6__normal.jpg,https://pbs.twimg.com/profile_banners/1281591210/1607909472,ABB8C2,000000,000000,000000,True,True,False,False,False,False,False,none
