,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,{'urls': []},False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,True,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
quoted_status_id,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,1338368680057597952,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
quoted_status_id_str,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,1338368680057597952,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,1,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
possibly_sensitive,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1252605204052291585,1252605204052291585,hika 🏳️‍🌈ᴺᴹ | PF2 💞,mahikasuvarna,queendom | bisexual | 17,,she/her | most of my tweets are about nicki minaj,,,False,1545,1105,7,Tue Apr 21 14:29:05 +0000 2020,54728,,,False,False,11497,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_images/1334472831325720577/sVJLQA92_normal.jpg,https://pbs.twimg.com/profile_banners/1252605204052291585/1605980147,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
