,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,"{'urls': [{'url': 'https://t.co/g3yoXLutbg', 'expanded_url': 'https://linktr.ee/cvinci', 'display_url': 'linktr.ee/cvinci', 'indices': [0, 23]}]}",False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,0,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,3916025958,3916025958,𝐁𝐈𝐆 𝐕𝐈𝐍𝐂𝐈,cvincii,land de vinci,,shop: @CVINCIofficial | book: @VinciVault | AKΨ | Louisiana Tech University ‘21,https://t.co/g3yoXLutbg,,False,2806,702,2,Fri Oct 16 17:37:48 +0000 2015,44877,,,True,False,46670,,en,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_images/1273111453294374921/WRniyGpJ_normal.jpg,https://pbs.twimg.com/profile_banners/3916025958/1604727629,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
