,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
in_reply_to_user_id,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,95961875,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,95961875,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,VictoriaLBruce,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
coordinates,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
place,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
contributors,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
is_quote_status,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweet_count,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorite_count,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,0,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
favorited,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
retweeted,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
lang,1224570209924718592,1224570209924718592,The Weather Man 🌽,BarryHerbers,,,"Fledgling Game Designer || Developing a pixely ~Zelda NES+Dark Souls~ game || Baby Leftist, He/Him",,,False,1108,693,7,Tue Feb 04 05:48:04 +0000 2020,20300,,,False,False,6784,,en,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_images/1319038414268911619/4IFMTHIv_normal.jpg,https://pbs.twimg.com/profile_banners/1224570209924718592/1605471203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
